date,000749.OF,001495.OF,002001.OF,002021.OF,002162.OF,040001.OF,040004.OF,050001.OF,050007.OF,050201.OF,090001.OF,100016.OF,110001.OF,121002.OF,161605.OF,180001.OF,202002.OF,270001.OF,373010.OF,519654.OF,519732.OF,960002.OF
2001/12/21,,,,,,1.002,,,,,,,,,,,,,,,,
2001/12/28,,,,,,1.011,,,,,,,,,,,,,,,,
2002/1/4,,,,,,1.008,,,,,,,,,,,,,,,,
2002/1/11,,,,,,1.003,,,,,,,,,,,,,,,,
2002/1/18,,,,,,0.999,,,,,,,,,,,,,,,,
2002/1/25,,,,,,1.008,,,,,,,,,,,,,,,,
2002/2/1,,,,,,1.012,,,,,,,,,,,,,,,,
2002/2/8,,,,,,1.018,,,,,,,,,,,,,,,,
2002/2/15,,,,,,1.018,,,,,,,,,,,,,,,,
2002/2/22,,,,,,1.018,,,,,,,,,,,,,,,,
2002/3/1,,,,,,1.017,,,,,,,,,,,,,,,,
2002/3/8,,,,,,1.03,,,,,,,,,,,,,,,,
2002/3/15,,,,,,1.027,,,,,,,,,,,,,,,,
2002/3/22,,,,,,1.036,,,,,,,,,,,,,,,,
2002/3/29,,,,,,1.027,,,,,,,,,,,,,,,,
2002/4/5,,,,,,1.032,,,,,,,,,,,,,,,,
2002/4/12,,,,,,1.044,,,,,,,,,,,,,,,,
2002/4/19,,,,,,1.04,,,,,,,,,,,,,,,,
2002/4/26,,,,,,1.038,,,,,,,,,,,,,,,,
2002/5/3,,,,,,1.043,,,,,,,,,,,,,,,,
2002/5/10,,,,,,1.038,,,,,,,,,,,,,,,,
2002/5/17,,,,,,1.028,,,,,,,,,,,,,,,,
2002/5/24,,,,,,1.026,,,,,,,,,,,,,,,,
2002/5/31,,,,,,1.019,,,,,,,,,,,,,,,,
2002/6/7,,,,,,1.025,,,,,,,,,,,,,,,,
2002/6/14,,,,,,1.023,,,,,,,,,,,,,,,,
2002/6/21,,,,,,1.032,,,,,,,,,,,,,,,,
2002/6/28,,,,,,1.0729,,,,,,,,,,,,,,,,
2002/7/5,,,,,,1.0688,,,,,,,,,,,,,,,,
2002/7/12,,,,,,1.0606,,,,,,,,,,,,,,,,
2002/7/19,,,,,,1.0627,,,,,,,,,,,,,,,,
2002/7/26,,,,,,1.0443,,,,,,,,,,,,,,,,
2002/8/2,,,,,,1.0453,,,,,,,,,,,,,,,,
2002/8/9,,,,,,1.0371,,,,,,,,,,,,,,,,
2002/8/16,,,,,,1.0371,,,,,,,,,,,,,,,,
2002/8/23,,,,,,1.0504,,,,,,,,,,,,,,,,
2002/8/30,,,,,,1.0432,,,,,,0.9972,,,,,,,,,,
2002/9/6,,,,,,1.0279,,,,,,0.9878,,,,,,,,,,
2002/9/13,,,,,,1.0259,,,,,,0.9853,0.998,,,,,,,,,
2002/9/20,,,,,,1.0208,,,,,,0.9802,0.997,,,,,,,,,
