,sharpe,jensen,sortino,ppw,stability
160613.OF,0.372066325796,0.0015165022064,0.0600176928145,0.00136299238876,52.0
360016.OF,0.594585335831,0.00235342159514,0.0957863453765,0.00276144733941,50.0
161818.OF,0.600645348979,0.00242080550139,0.0936911482894,0.00164120180566,52.0
213006.OF,0.855757321439,0.0034365208447,0.144463254967,0.00302393735369,54.0
163001.OF,-0.085202391741,,,,
519033.OF,-0.147262498337,,,,54.0
340007.OF,1.11560843082,0.00405153967915,0.178103040638,0.00375652598033,53.0
166005.OF,0.343573547873,0.00137773975215,0.0527909738237,0.000715623177919,52.0
270001.OF,0.751404532705,0.00215489246066,0.121651048961,0.00208655657463,49.0
519993.OF,0.29459936117,0.00127764906004,0.0473982644506,0.000761919577151,
166801.OF,0.431640285414,0.00138840920102,0.0717993285626,0.00109424858192,53.0
530001.OF,0.22224732821,0.000944605249796,0.0399634680587,,55.0
481008.OF,-0.468692335334,,,,52.0
160215.OF,0.004661792221,,,,49.0
180010.OF,0.285837851406,0.00123520210059,0.0507082902291,0.000797636068312,48.0
050001.OF,-0.338137361253,,,,49.0
233011.OF,-0.291176307995,,,,49.0
530005.OF,0.226681007275,0.000915177778044,0.039713975915,0.000649543440329,51.0
630001.OF,0.690186947362,0.00286384310607,0.112385851813,0.00206062801485,50.0
320001.OF,-0.10744584865,,,,53.0
080008.OF,0.102407435541,,,,
210003.OF,-0.214300647901,,,,
270002.OF,0.128311352762,,,,49.0
240009.OF,0.718082154845,0.00278131520633,0.113533648304,0.00198142495656,51.0
233001.OF,-0.275326438743,,,,52.0
070021.OF,0.287336516635,0.00112242832123,0.0459438096071,0.000925317339208,49.0
100039.OF,-0.00715826249562,,,,51.0
290006.OF,0.0154909215388,,,,
580007.OF,0.340160891212,0.0013906042147,0.0538303167803,0.000559902733872,51.0
110005.OF,0.361242098733,0.00159691156495,0.0561550171096,0.00115499097472,52.0
002011.OF,-0.0292570431191,,,,51.0
450002.OF,0.690370936802,0.00201209279713,0.105072281211,0.00151317561531,53.0
163805.OF,0.619190340505,0.0024663535844,0.104809722003,0.00196485956734,54.0
110002.OF,0.664289580964,0.00217716554739,0.106878765065,0.00186211034899,56.0
740001.OF,-0.377783630285,,,,
519704.OF,0.925259912585,0.0033856695735,0.148437813586,0.00240665015316,
470006.OF,1.7911125732,0.00664382243143,0.252627458385,0.00571423394152,55.0
121008.OF,0.283806684865,0.00110105386826,0.0482954022606,0.000624197083685,51.0
200011.OF,0.378134249644,0.00131029302356,0.0652036532439,0.000983493845112,55.0
350007.OF,0.542792648996,0.00168254645747,0.0862862220036,0.0017503833105,
610001.OF,-0.0884701433164,,,,56.0
020010.OF,1.03989720275,0.00372066883162,0.171124421535,0.00306976922315,55.0
481010.OF,-0.31938329267,,,,50.0
161005.OF,0.242394755703,0.00122458235543,0.0402151650226,0.000538068938397,50.0
450010.OF,0.102233690314,,,,55.0
580008.OF,0.127657220809,0.000882711881566,,,49.0
180018.OF,0.396579375671,0.00151631966523,0.0680004431425,0.00104875438938,
121005.OF,0.355910961209,0.00176227918458,0.0589030323842,,52.0
080005.OF,-0.0342592060449,,,,
310358.OF,0.191051241825,0.000973273159718,0.0336523326558,,52.0
320003.OF,-0.27287856054,,,,
040011.OF,0.1284141227,,,,51.0
470028.OF,0.171681411058,0.000875792959029,0.029744291396,,52.0
213008.OF,0.391822684446,0.00192660171156,0.0596129512401,0.00157591674851,
110029.OF,0.897264736506,0.00339395460447,0.137086013275,0.00229298380572,51.0
257020.OF,1.21145057706,0.00436623752448,0.188279753348,0.00422279137942,56.0
379010.OF,0.588894126763,0.00280750600698,0.092727865421,0.00221602284037,50.0
070022.OF,0.560557316472,0.00217948848079,0.0881772668943,0.00203321778356,49.0
162212.OF,0.55004583019,0.00236720891096,0.0795619626692,0.00167727727466,53.0
660001.OF,1.06164245083,0.00441127877939,0.166763364127,0.00378126018597,53.0
398041.OF,0.155782596744,,0.0274418636064,,
519674.OF,1.4465562973,0.00512224656044,0.215819222145,0.00468938460653,55.0
620006.OF,0.0316678875268,,,,49.0
360006.OF,0.239111891974,0.00103822057153,0.042928523617,0.000746757419052,
213001.OF,0.312058126291,0.00115676031469,0.0528766481064,0.000562835670325,49.0
360007.OF,0.367711483508,0.00161811997569,0.0611267357982,0.00151269804878,
180013.OF,-0.0454407781476,,,,56.0
070002.OF,0.304916932129,0.00117053880293,0.0482327389894,0.000736310902611,54.0
162605.OF,0.479695063393,0.00192863276547,0.0766351083983,0.00127324827808,52.0
410009.OF,-0.384473582367,,,,
720001.OF,0.324434115988,0.00131937003436,0.05297907081,0.00128398988117,
240002.OF,0.310358191623,0.00113311038158,0.0526083239577,0.000803923951423,56.0
040004.OF,-0.055722549486,,,,56.0
290005.OF,0.610576519655,0.0017741086973,0.0975809335884,0.00124771325498,50.0
161609.OF,0.179309994911,0.000962245377822,0.0310143976108,0.000770503782031,53.0
580006.OF,-0.0871045684406,,,,51.0
166006.OF,0.099539705113,0.000876965531661,,,53.0
519110.OF,0.398472168215,0.00186969239638,0.0625115476504,0.00144790080351,51.0
162006.OF,0.627861929904,0.0022536774658,0.0938753904056,0.00136532207711,53.0
161903.OF,-0.451694541498,,,,55.0
570005.OF,0.328145252576,0.00161335170545,0.0513646431921,0.00104048621709,49.0
000021.OF,0.144199696681,,,,51.0
206002.OF,0.612284613491,0.00234806143126,0.0928497257101,0.00170604479872,52.0
519700.OF,0.0691682729643,,,,
580005.OF,0.61030774931,0.00215149113827,0.0964839262781,0.001497368298,52.0
400015.OF,0.352261198592,0.00131759156016,0.0573139631808,0.000762282504845,52.0
260110.OF,0.200550859407,,0.0330138716453,,
160105.OF,0.172694369535,,0.031724991666,,53.0
160106.OF,0.747380867064,0.0030546735583,0.12221932098,0.00267870442264,54.0
240001.OF,0.220287132862,,0.038108929521,,50.0
519113.OF,0.164988418408,,,,50.0
070019.OF,0.254361249881,0.00116802571316,0.04267085771,0.000911438993876,53.0
620004.OF,0.0283219659918,,,,
270025.OF,0.238097182902,0.00124265384137,0.0380646798611,0.000690002254335,
519692.OF,0.8702874951,0.00374535575559,0.139048636837,0.00314633520958,54.0
519095.OF,0.908467799235,0.00374726824892,0.137473292649,0.00358309518523,56.0
160805.OF,-0.217473663688,,,,49.0
460009.OF,0.170587605893,,0.0298301008771,0.000679960752064,
360010.OF,-0.245696817453,,,,
519987.OF,0.312878333516,0.00130394607608,0.0514865548334,0.000658105752329,51.0
660004.OF,0.515747238866,0.00226375781231,0.0782078342685,0.00169919918916,51.0
519183.OF,0.580188100119,0.00189212239945,0.0880841138496,0.00136023532681,50.0
161606.OF,0.425655855353,0.00191968786963,0.0692254479461,0.00178161845289,51.0
610002.OF,0.235677044006,0.00119924025795,0.0389417873664,0.000970133855452,57.0
519039.OF,-0.19113114028,,,,
375010.OF,-0.450098700443,,,,54.0
