,sharpe,jensen,sortino,ppw,stability
660102.OF,1.51783214773,0.000479628241311,0.290302905324,0.000596450297203,
161902.OF,2.86538163057,0.00096728726479,0.457628641891,0.0017502448425,51.0
166003.OF,2.11635895077,0.00062320490808,0.384095855482,0.000462083939821,50.0
470059.OF,-0.416057405566,,,,
040010.OF,1.1925704254,,0.253666245123,,
050019.OF,-0.0363370959033,,,,
371120.OF,0.997662101187,,,,
620007.OF,0.221450512982,,,0.000398822192858,46.0
100037.OF,-0.273688384517,,,,
040012.OF,2.19754414168,0.000497536997148,0.379136023267,0.00080147193458,54.0
610103.OF,1.44763126796,0.000435792325653,,0.000637883734605,
320008.OF,0.683829848726,,,,53.0
519685.OF,0.147166930231,,,,
290007.OF,1.35005317911,0.000559602013379,,0.000185366119699,
519680.OF,2.14315835929,0.00101485450458,0.35517328367,0.000664225212016,47.0
519666.OF,1.59051233634,,0.338185492062,0.000214690149201,51.0
001001.OF,2.53395282394,0.000431917327665,0.40074982584,0.000551038905693,52.0
161713.OF,3.00935793372,0.00157102970102,0.479540381414,0.00102185418366,54.0
160612.OF,2.46693643267,0.000599012970739,0.475893334832,0.000351900864649,48.0
180028.OF,1.09433717876,0.000460505833335,,,
121009.OF,1.75045684656,0.000466143031989,0.361260105751,0.000687324627992,
100036.OF,-0.188800278056,,,,
519682.OF,2.03932149367,0.000932163480925,0.338726923166,0.000588357197245,
040013.OF,1.96220785291,0.000452093483299,0.352953047288,0.000729086658548,56.0
255010.OF,-0.761702082276,,,,
121001.OF,0.0877088988916,,,,
519681.OF,2.14315835929,0.00101485450458,0.35517328367,0.000664225212016,48.0
320004.OF,1.05134718286,,,,55.0
160602.OF,2.01290290395,,0.420776596902,0.000290487718013,53.0
320009.OF,0.425785420258,,,,51.0
020019.OF,1.83251994868,0.00114288335617,0.334312346325,0.00101087198572,49.0
371020.OF,1.18765430779,,,,48.0
310378.OF,0.668434015094,,,,
070015.OF,0.703005107406,,,,
217011.OF,2.46482200542,0.00118548265072,0.419332162365,,51.0
630003.OF,0.815997419183,,,,
541005.OF,1.06121842845,,,0.000373570522992,48.0
485005.OF,1.74046574572,0.000476379198534,0.264779653396,0.00015883020415,49.0
070026.OF,1.37672922106,,0.350008861457,,54.0
100018.OF,1.93638092358,0.000695558059427,0.333256104875,0.000649829076823,50.0
070016.OF,0.642206200152,,,,50.0
200113.OF,2.11458641793,0.000855152124044,0.361546065376,0.00072489368152,55.0
253021.OF,1.79285668999,0.000744525018599,0.327721548436,0.000851651290916,49.0
161010.OF,1.18080586023,,0.254742567966,,50.0
519989.OF,0.791593032894,0.000617062933246,,0.000500506372714,
163411.OF,0.209151631235,,,,49.0
340001.OF,-0.467385939237,,,,
091008.OF,-0.174642436431,,,,
164902.OF,2.50561287338,0.00129884892211,0.442305332392,0.0017743401674,56.0
240018.OF,0.199938167428,,,,
