,sharpe,jensen,sortino,ppw,stability
160613.OF,-0.76068763971,,,,
340007.OF,-0.339206900315,0.000706727586701,-0.0407978361752,0.000750600345012,54.0
161818.OF,-0.411899293879,,-0.0493380778498,,
213006.OF,-0.725666543354,,,,51.0
163001.OF,-0.588389740423,,,0.000121677298447,51.0
166005.OF,0.171690452454,0.00253605042313,0.0303688981745,0.00268458795564,56.0
270001.OF,-0.302333440073,0.00048831582939,-0.0359130220845,0.00040807799417,48.0
519993.OF,-0.444479128337,0.000406910028878,-0.0579560124294,0.000509732736312,
530001.OF,-0.705605706461,,,,58.0
481008.OF,-0.635574018884,,,,48.0
160215.OF,-0.726576958206,,,,53.0
180010.OF,-0.569702264344,,,,52.0
530005.OF,-0.506265849881,0.000230493859808,-0.0652741892415,,52.0
630001.OF,-0.448707304022,0.000419141044165,-0.0599353599809,0.000836957076467,
320001.OF,-0.581864012396,,,,
050001.OF,-0.556516400707,,,,54.0
210003.OF,-1.13051453908,,,,54.0
270002.OF,-0.503261006448,0.000134490956619,-0.0617972089433,,51.0
240009.OF,-0.519811823548,,-0.0687749693216,,53.0
233001.OF,-1.11827674149,,,,51.0
070021.OF,-0.222198692029,0.00118081054771,-0.026418972487,0.00109249683963,50.0
100039.OF,-0.548964213839,,-0.0675494735598,,
290006.OF,-0.213841077671,0.00138644124222,-0.0286625778458,0.00153567598694,52.0
580007.OF,-0.40479044329,0.000342464020522,-0.0468724228386,0.000468220425057,
110005.OF,-0.595487600657,,,,
002011.OF,-0.713349846601,,,,51.0
450002.OF,-0.104482777829,0.00153519157081,-0.011388752997,0.00157061263479,51.0
163805.OF,-0.0204667733393,0.00192246799967,0.000863246049425,0.00171180522634,51.0
110002.OF,-0.492895943959,0.000198739648124,-0.067930469,,54.0
233007.OF,-0.484926530401,0.000188518903724,-0.064212956053,0.000125506282653,50.0
519704.OF,-0.990009159115,,,,52.0
470006.OF,0.210635259224,0.00249717518647,0.0325699985008,0.00251116564741,
121008.OF,-0.653162874833,,,,53.0
200011.OF,-0.789941127776,,,,52.0
350007.OF,-0.734410841386,,,,50.0
610001.OF,-0.78089881437,,,,54.0
020010.OF,0.0887678629514,0.00220844976143,0.0170756853798,0.00253774047582,49.0
481010.OF,-0.959487772446,,,,48.0
161005.OF,-0.589951814089,,,,
450010.OF,-1.29127021393,,,,51.0
180018.OF,-0.0347933467395,0.00168237464054,-0.000801555529921,0.00159274382196,54.0
121005.OF,0.0490249679569,0.00239335919405,0.0109119917752,0.00234394440175,50.0
080005.OF,-0.498312605263,0.000305456973037,-0.0706804257962,0.000303018687881,50.0
310358.OF,-0.687657892456,,,,52.0
320003.OF,-1.06856226936,,,,50.0
040011.OF,-0.307924479729,0.0010284821048,-0.0429007404858,0.00105310159581,
470028.OF,-0.455542626536,0.00024312927962,-0.0582339334151,,50.0
