,sharpe,jensen,sortino,ppw,stability
660102.OF,1.9943820206,0.00153873616499,,0.00517423675819,52.0
161902.OF,2.82403345125,0.00247946724524,0.465355331508,0.00395719200657,51.0
161506.OF,1.88556515694,0.00449988095438,0.313155670253,0.00875938930568,
000225.OF,1.17357812012,,,,
000246.OF,2.20657418176,,0.334262376654,,50.0
000182.OF,1.59959819503,,,,50.0
100037.OF,2.60084781293,0.00401788963427,0.387828810298,0.00908999833259,54.0
000536.OF,0.769706080361,0.00202072620223,,0.0158353320456,
450019.OF,2.19799184034,0.00149716241669,0.516148439772,0.00403234029272,52.0
610103.OF,1.47386827999,0.00222362458397,,0.00607808856535,
000578.OF,-0.625960498422,,,,53.0
519685.OF,2.42781955915,0.00467560877258,0.354915306043,0.00976145112998,50.0
531020.OF,3.07731104736,0.0129237702538,0.547887553186,0.0249180837756,53.0
519519.OF,0.590618492483,,,,
519680.OF,2.82056145008,0.00119123371342,0.425128005713,0.00289763247994,55.0
650001.OF,3.10380383772,,0.464491459256,,53.0
160612.OF,2.5782495207,0.00203510585043,0.461756027599,0.00270284290569,
519682.OF,2.73192988532,,0.412069222404,0.00282611841149,56.0
255010.OF,1.66978243732,0.0116646270918,,0.0142002667166,54.0
700004.OF,0.644681779043,0.00193029365017,,,
000357.OF,5.06623630043,,0.474329834524,,
519152.OF,3.82589142822,,0.659054539274,,51.0
121001.OF,1.33937732671,0.00488481224146,,0.0044959894698,51.0
000092.OF,3.94292693451,,0.416960627338,,
530017.OF,3.50250020998,0.00511501340495,0.517419274241,0.0079153603737,50.0
000129.OF,2.51215491563,,0.380150656958,,51.0
470059.OF,1.14002842475,0.00729989346179,,0.0221215041206,52.0
000403.OF,1.93725290204,,0.296547429289,,52.0
000027.OF,2.76989738386,0.0017703049178,0.379263134983,0.00319865698243,53.0
320009.OF,1.62921580029,0.00386516401944,,0.00676061217055,52.0
020019.OF,2.8405321134,,0.378842537288,,52.0
161221.OF,3.66093347397,0.00323867733223,0.750624814768,0.00409687214009,52.0
371020.OF,2.68752651106,0.0014182993409,0.383589662565,0.00296321133952,55.0
000284.OF,1.60919477114,0.00298917277939,,0.00528050240987,50.0
163823.OF,2.21265751527,0.00561676563885,0.288148680571,0.00862785373998,52.0
000244.OF,2.16968488366,,,,
000184.OF,2.80568473026,0.00516916155377,0.446504046988,0.0116090786938,54.0
070016.OF,2.10888465653,0.00242700436836,0.302247292144,0.00371300204864,
519989.OF,3.10501609596,0.005369272829,0.440962488111,0.0104402644035,55.0
340001.OF,1.50239420705,0.00654661801098,,0.0182698658563,
091008.OF,1.53888822915,0.00354222890852,,0.0138630046965,50.0
240018.OF,1.07596519021,0.00626717762688,,0.0213222458429,52.0
519666.OF,2.19291022638,0.00135555095076,0.291564110666,0.00456081951245,
161603.OF,1.55601327009,,,,54.0
000025.OF,2.1288111023,,0.309799704027,,
519187.OF,2.86224174102,,0.447810795398,,55.0
450005.OF,2.38672367516,0.00272797638091,0.301353569719,0.00359296896942,53.0
000616.OF,2.17606718178,0.0054039099875,0.330785745006,0.0083445989262,54.0
519189.OF,2.3916694507,,0.345038209433,,50.0
485119.OF,0.477210260378,,,,
000111.OF,3.40455274921,,0.454186727328,,54.0
213007.OF,2.39342415966,0.00224450028388,0.330665066625,0.00497383937866,50.0
000175.OF,2.09745695796,0.0021097079983,0.290235647216,0.00555680847481,50.0
217023.OF,2.01723724723,0.00210381189571,,0.00485947473852,
000207.OF,4.25882480302,0.00136423913363,0.706408661783,,55.0
000288.OF,1.50631180284,,,0.00289376355094,52.0
519061.OF,2.86639912294,0.0122765223674,0.514758904854,0.0239542077425,52.0
100035.OF,2.64952119739,0.00409173310512,0.38912831338,0.0091269621078,54.0
000305.OF,2.78411213438,,0.398379873984,,51.0
161015.OF,1.6239036636,,,,
675013.OF,0.731908749769,,,,52.0
000188.OF,2.06257802273,,,,54.0
310518.OF,1.43925601678,0.00810998287368,,0.0253494152067,52.0
206018.OF,2.51609030545,0.00154016276349,0.393689692233,0.00426664932086,55.0
560005.OF,-0.473515688728,,,,51.0
163812.OF,1.85844836423,0.00145470163135,,,55.0
000074.OF,3.23908818778,,0.473183934557,,50.0
165809.OF,0.243528445071,,,0.0138440816936,
000429.OF,7.93239728715,,0.684787223129,,
050016.OF,0.748780032735,,,0.00500472100859,
519663.OF,1.78885697831,0.00336022493796,0.30728012659,0.00705031252721,
000302.OF,3.37713038944,,0.482979654265,,52.0
050106.OF,2.86722060917,0.00530890606342,0.544755669211,0.0132196174294,53.0
240012.OF,3.68555484872,0.00152052637437,0.629882130058,,50.0
162715.OF,2.06527452306,,,,
050128.OF,2.03437603421,,0.333495714721,,52.0
519985.OF,2.92446825834,,0.474148502656,,
217008.OF,2.6198040652,0.00525429735887,0.366722109338,0.0107047628402,50.0
000372.OF,3.38372604579,,0.543943186376,,52.0
000507.OF,4.11157735967,0.00202123255713,0.834553609088,,
240003.OF,1.6764683765,,,,53.0
020034.OF,3.52650987591,0.00299476946188,0.526096469726,0.00534721538486,51.0
160720.OF,1.7719725886,,,,53.0
000237.OF,2.96852110122,,0.440547601776,,50.0
100066.OF,1.0014130731,,,,
159926.OF,0.659421203401,,,,
253061.OF,1.23144586352,,,,
040041.OF,2.27048067438,,0.290247551443,,
000571.OF,2.53814365643,0.00672662554964,0.434746908033,0.00864251803328,51.0
200016.OF,2.59866269732,0.00608698391051,0.382152367278,0.00746965397418,52.0
700006.OF,1.7421523432,0.00310188190826,,,
020020.OF,2.72198275379,,0.376768470891,,51.0
000338.OF,2.34713773095,,0.382169158708,,
000081.OF,1.17038013641,0.00606710756499,,0.0148401393219,52.0
519111.OF,1.05097275168,,,,51.0
161693.OF,1.4552116232,,,,54.0
202107.OF,1.54646556732,0.00503454714831,,0.0132015714503,51.0
100073.OF,3.03444315977,,0.414460342958,,
360014.OF,1.79023597067,0.00138547626639,,0.00377598061516,51.0
519123.OF,0.664851300952,,,,52.0
485105.OF,1.22792744735,0.00132570292905,,0.00448798469082,52.0
675011.OF,0.779807200276,,,,51.0
000564.OF,3.15341661005,,0.568808975076,,51.0
000280.OF,1.7482592076,,,,51.0
040009.OF,2.64392876037,0.00334929409653,0.499289889245,0.00895853865074,51.0
270045.OF,1.91372918857,,0.287726811429,,
519051.OF,2.33351679567,0.00791468709946,0.390032058146,0.0184957220323,52.0
610108.OF,0.287046354674,,,,
163004.OF,2.59178016668,,0.411939288961,,51.0
485011.OF,3.10212889049,0.00344339730257,0.522964790567,0.0051569301214,55.0
