,sharpe,jensen,sortino,ppw,stability
160613.OF,-1.62853793472,,,,50.0
340007.OF,-1.18179877531,0.00029743911611,-0.141152050105,0.000389336812928,
040001.OF,-1.79393128114,,,,52.0
213006.OF,-2.57893506103,,,,
166005.OF,-0.638359799842,0.00273479624606,-0.0877858095687,0.00296868851099,51.0
270001.OF,-1.47696221334,,-0.196423085258,,49.0
320003.OF,-1.75844731073,,,,47.0
530001.OF,-1.54634282253,,,,48.0
481008.OF,-1.10044936601,0.00115956684295,-0.156305429267,0.00124620117891,49.0
160215.OF,-1.40429972519,0.000172103913539,-0.202337833079,0.000365678039146,54.0
180010.OF,-1.47014373305,,-0.196257838658,,47.0
530005.OF,-1.64162511443,,,,47.0
630001.OF,-1.20753444463,0.000542842882674,-0.162654722406,0.000570836433692,51.0
320001.OF,-1.44555458501,,-0.190880888455,,
050001.OF,-1.29565279034,0.000142791091753,-0.191886249121,0.000364769792832,51.0
210003.OF,-1.76795097675,,,,
270002.OF,-1.43977932228,,,,52.0
240009.OF,-2.22240365204,,,,49.0
233001.OF,-2.32218273611,,,,50.0
070021.OF,-1.12428902512,0.000872970600281,-0.163568225502,0.000905222250005,50.0
100039.OF,-1.69874192475,,,,49.0
290006.OF,-1.10475287369,0.00106956562076,-0.157478155215,0.00105574810477,
580007.OF,-1.06283721827,0.000438302847363,-0.126981571105,0.000214432547781,51.0
110005.OF,-1.21446364306,0.000421068356297,-0.163892697401,0.00065947875125,50.0
002011.OF,-1.31123043199,0.000391045317393,-0.190529239249,0.000517306871812,53.0
450002.OF,-1.47397514634,,,8.51496400772e-05,55.0
163805.OF,-1.51416678052,,,,54.0
110002.OF,-1.38641920603,,-0.186505698454,2.25639767696e-05,
233007.OF,-1.21785177047,0.00033398623709,-0.153163260663,0.000424450278084,51.0
410007.OF,-1.74050271682,,,,50.0
470006.OF,-1.05389854791,9.3338414111e-05,-0.133860253622,0.000428074904142,
121008.OF,-1.58567501887,,,,
200011.OF,-1.79564732023,,,,51.0
350007.OF,-1.2828100469,,-0.163734436009,,48.0
610001.OF,-1.48765723327,,,,54.0
020010.OF,-0.828181747447,0.00163091735594,-0.114724413234,0.00213237767778,49.0
481010.OF,-1.61891945004,,,,
161005.OF,-1.09674399893,0.000706306895029,-0.149514858692,0.000986436286226,48.0
180018.OF,-1.20401844945,0.000422572080783,-0.168416274104,0.000443508689868,
121005.OF,-1.08499204761,0.000753147995421,-0.140294347614,0.00087395099066,52.0
080005.OF,-1.23046928236,0.00066132588681,-0.19098126496,0.000718146952863,
310358.OF,-1.42250641127,,-0.186485472536,,51.0
519993.OF,-1.60201713337,,,,47.0
040011.OF,-1.3861817899,0.000209865433755,-0.204521989457,0.000221099831987,54.0
213008.OF,-0.836554135859,0.00148195942214,-0.108326445415,0.00183604671779,
110029.OF,-1.16910009698,0.000408172896577,-0.149393811151,0.000759758675861,55.0
257020.OF,-1.44159052045,,,,
379010.OF,-1.40779420506,,-0.182808980148,,49.0
162212.OF,-1.14495835472,0.000245689602913,-0.165880905622,0.00020884303127,50.0
660001.OF,-1.44899835696,,,,50.0
398041.OF,-1.21145923966,0.000485944644413,-0.169824226389,0.000508589395754,
519674.OF,-1.20043658503,0.000262252201079,-0.164330111128,0.000379124751565,52.0
620006.OF,-0.712466799933,0.00126300084291,-0.0898061121034,0.00171059692821,52.0
360006.OF,-1.63663988209,,,,54.0
213001.OF,-1.09608757899,0.00051209481036,-0.145575196771,0.000771745493889,
360007.OF,-1.54355343936,,,,49.0
180013.OF,-2.13145075494,,,,54.0
070002.OF,-0.821949385102,0.00121493410299,-0.11467547638,0.001393618015,51.0
162605.OF,-1.71819052869,,,,47.0
410009.OF,-1.08823167301,0.000970677752855,-0.150243283411,0.000990272076943,
240002.OF,-1.33503605375,0.000377261644141,-0.19709151506,0.000410686470168,55.0
040004.OF,-1.41600403241,-1.62893617669e-05,,,50.0
290005.OF,-1.34184262317,,-0.167070613537,,55.0
161609.OF,-1.53218732392,,,,49.0
580006.OF,-0.953351831302,0.00155205682116,-0.130454362885,0.00146246653209,54.0
166006.OF,-1.17181383684,0.000607209396189,-0.18625907467,0.000510387036099,52.0
519110.OF,-1.40551912322,,-0.183684703554,,48.0
162006.OF,-0.872338241086,0.000895505342434,-0.107109970244,0.00134493914672,51.0
161903.OF,-1.81734370245,,,,
570005.OF,-1.7544192257,,,,52.0
