,sharpe,jensen,sortino,ppw,stability
270001.OF,-2.06423789077,,,,
320003.OF,-1.91934137433,-0.000854330889762,,-2.18682410707e-05,51.0
530001.OF,-1.8603416701,-0.00100047405754,-0.278418197576,-0.000865084114164,
180010.OF,-2.20464142807,,,,50.0
530005.OF,-1.85039051953,-0.000754961450932,-0.263425812035,-0.000734922809099,46.0
630001.OF,-2.03166684621,,,,
320001.OF,-1.8290152941,-0.000420889909911,-0.26748045035,0.000117561529741,51.0
240009.OF,-1.47839430796,0.00232317281818,-0.219965326785,0.00237978885234,47.0
233001.OF,-2.39717639932,,,,50.0
110005.OF,-1.97424249278,,-0.281534550857,,50.0
002011.OF,-1.69822858942,5.0259514215e-05,-0.24898538451,0.000359193818903,48.0
450002.OF,-1.75426279944,-0.00043603934151,-0.28297700677,-0.000107201742121,
110002.OF,-1.94503796152,,-0.259498289014,,49.0
040004.OF,-1.74381322333,4.52563498974e-05,-0.254351706382,0.000319350532518,47.0
610001.OF,-2.02138199565,,,,49.0
020010.OF,-1.70858001155,0.000352412673246,-0.250302409158,0.000889117384128,
161005.OF,-1.71620112873,0.000637255801824,-0.260831079646,0.00019132084952,
121005.OF,-1.85928362592,-0.000665153049855,-0.261764202662,-0.000581536972361,50.0
310358.OF,-2.04293637784,,,,48.0
519993.OF,-1.84845628411,-0.00108753831191,-0.282268351811,,
580002.OF,-2.23384460812,,-0.263074887875,,
257020.OF,-1.6907347972,0.00037904915698,-0.245292504111,0.000630157171231,
040001.OF,-2.2969471659,,,,49.0
360006.OF,-1.63648289329,0.00123094683223,-0.230645431703,0.00167713375931,50.0
213001.OF,-2.63376581918,,,,
360007.OF,-1.90633812735,-0.000750877230927,,-0.000137150254797,
070002.OF,-1.96775157715,,-0.280629110789,,52.0
162605.OF,-2.19826096303,,,,
240002.OF,-1.64676459999,0.000949319497356,-0.253143943052,0.000974688349189,54.0
162006.OF,-2.01150322963,-0.00103215892768,-0.274614820004,,51.0
161903.OF,-1.68780786242,0.000613916416833,-0.224766166044,0.000861970392674,47.0
000021.OF,-1.95132424898,,-0.268701933086,,53.0
519087.OF,-2.23207983708,,,,48.0
260110.OF,-1.87153861288,-0.00061482607695,,4.83130477083e-05,46.0
160105.OF,-2.30798725078,,,,49.0
240001.OF,-1.5341226668,0.00122442411369,-0.214228898765,0.00116945052281,53.0
257030.OF,-1.9610874558,,,,
519692.OF,-1.91364694233,-0.000947276503066,-0.28316576389,-0.000900997582893,
160805.OF,-2.11414630939,,,,51.0
160106.OF,-2.04265661484,-0.00103654288094,,,52.0
270002.OF,-1.83247124718,-0.000490103223374,-0.261391658237,-0.000376875391865,53.0
161606.OF,-1.90044740961,-0.000888543950729,,,52.0
519039.OF,-1.62509795836,0.000807872920622,-0.253809112444,0.00179779465908,53.0
375010.OF,-1.59245653713,0.00103957623985,-0.226453843685,0.00131554882271,
070011.OF,-2.22783079544,,,,57.0
