,sharpe,jensen,sortino,ppw,stability
121009.OF,1.01764142064,0.000982746348591,0.175203598273,0.000724495937397,50.0
161902.OF,-0.0823486053477,,,,50.0
166003.OF,0.0964968043234,,,,54.0
040010.OF,1.44956335557,0.00123686710561,0.216198320561,0.00104034623972,
001013.OF,-0.437204750747,,,,52.0
371120.OF,-1.36812227521,,,,47.0
100037.OF,1.19303254552,0.00151055369029,0.159506380495,0.00145221211822,
040012.OF,0.179373107884,,,,51.0
610103.OF,0.710595080592,0.000902578716882,0.115439840431,0.000848016999509,52.0
320008.OF,0.416143198837,,0.0761490650398,,50.0
290007.OF,1.00821274777,0.000949164308872,0.17676769967,0.000835371009131,
519680.OF,0.252444883889,,,,48.0
020012.OF,0.743673073869,0.000649375327449,0.104754418572,0.000460160751842,50.0
001001.OF,0.12653359163,,,,54.0
160612.OF,-0.515818531972,,,,52.0
100036.OF,1.27234758064,0.00157804315341,0.173409739333,0.00151045634434,
519682.OF,0.186063978916,,,,48.0
040013.OF,0.116267203745,,,,50.0
255010.OF,0.351995589168,0.000914436053059,,,52.0
121001.OF,0.68782064217,0.00129748425287,0.116057699976,0.000565968827683,
519681.OF,0.252444883889,,,,48.0
320004.OF,1.08963103887,0.000847694452143,0.170719735247,0.000741328185666,54.0
160602.OF,-0.398465880194,,,,51.0
320009.OF,0.332776555238,,,,
020019.OF,0.763798775474,0.000757129734626,0.112795587899,0.000491633464879,47.0
371020.OF,-1.11377787382,,,,52.0
310378.OF,0.888246179809,0.000732774094581,0.127802493025,0.000753119968186,
070015.OF,0.752507827992,0.000715293823053,0.122379876008,0.000514164624916,49.0
217011.OF,0.239947440471,,,,
630003.OF,0.670458934935,0.00081253413549,0.111039026496,0.000598246158555,53.0
485005.OF,1.33398758013,0.00124939044841,0.175068643978,0.00105327103441,51.0
100018.OF,0.540898997177,0.000731057682495,0.0853803206468,0.000418474574888,47.0
070016.OF,0.683022522203,0.000656610947865,0.115531307882,0.000465888831377,48.0
253021.OF,1.01871240646,0.000933636531205,0.163997267373,0.00083596114932,
161010.OF,1.6178481232,0.00123933240587,0.234961591284,0.00106168083799,53.0
519989.OF,0.694014748928,0.00065961347263,0.108381232333,0.000379841279592,
340001.OF,0.721178129994,0.00123781981893,0.104421667706,0.000746545359829,53.0
091008.OF,0.822990022356,0.000741700870512,0.124196552179,0.000673234603287,48.0
519666.OF,-0.439995403552,,,,53.0
550006.OF,0.797705134709,0.000827735546304,0.130415942907,0.000713221271054,51.0
161603.OF,-0.785511164409,,,,51.0
460003.OF,-1.18978461085,,,,49.0
180015.OF,-0.257002390467,,,,51.0
519187.OF,0.714243324077,0.00105818854425,0.12142662972,0.0004902919935,
217003.OF,0.284632995127,,,0.000460965787695,49.0
450005.OF,0.790784217625,0.000799289082976,0.1298695315,0.00049750259919,49.0
530008.OF,1.37784299437,0.00119139754301,0.207400181986,0.000981744062699,
270009.OF,0.438144415529,,0.0752947251402,,48.0
213007.OF,0.326651713113,0.000714090252944,,,48.0
090006.OF,0.950589073607,0.00303297367238,0.134603433891,0.00165728532841,52.0
100035.OF,1.27234758064,0.00157804315341,0.173409739333,0.00151045634434,
040009.OF,1.52182878028,0.00128766821547,0.225844786432,0.0010881289745,
550004.OF,0.0921898202872,,,,
560005.OF,-1.05913665073,,,,
420102.OF,-0.029809025528,,,,
582001.OF,0.0152691723461,,,,
050111.OF,0.71371861612,0.000818750243724,0.135975949218,0.000608106976301,
162205.OF,-0.565856647385,,,,54.0
050106.OF,0.35361084982,0.000812476363281,,0.00054030181993,49.0
550005.OF,-0.0189342178101,,,,
163806.OF,0.987238906122,0.000663517308146,0.174857150095,0.000579265907474,53.0
240012.OF,-1.13975528454,,,,56.0
090002.OF,0.45206844245,,0.0868624622241,0.000457647426853,
217008.OF,1.16968627168,0.00156204266564,0.159705062064,0.00116730428787,52.0
240003.OF,-0.394957472559,,,,50.0
070005.OF,0.0746459037877,,,,52.0
519519.OF,-1.10732320318,,,,54.0
110017.OF,1.54888139903,0.0015434592214,0.234490582975,0.00133744864397,54.0
400009.OF,0.12598961906,,,,
110018.OF,1.44971981435,0.00146219345594,0.211193991411,0.00126774906541,52.0
070009.OF,-3.05684289546,,,,47.0
690202.OF,0.18174768456,,,,
420002.OF,-0.202186441278,,,,
240013.OF,-1.23242606824,,,,56.0
151002.OF,0.619576727042,,0.0898277018768,,50.0
288102.OF,0.290112286812,,,,47.0
253010.OF,-1.41401479143,,,,52.0
470078.OF,0.609484176372,,0.127545397545,,54.0
350001.OF,0.356607468194,0.000867610457531,,,52.0
395001.OF,0.748092241391,0.000680678073076,0.128050839783,0.000502349345572,48.0
573003.OF,0.306083768907,,,,47.0
531009.OF,0.907151854096,0.0009089342622,0.12464981818,0.000702658411441,48.0
519023.OF,-0.14316879537,,,,51.0
020020.OF,0.673273642069,0.000693448628706,0.100784236388,0.000411303352119,
519111.OF,0.674608534043,0.000739878731302,0.101926480691,0.00069566784676,
485105.OF,1.4306683982,0.0013220441709,0.186460857848,0.00112856989011,51.0
110007.OF,0.264969296851,,,,
180002.OF,-1.55872536593,,,,51.0
202101.OF,0.479133109115,0.000736911357516,,,
485107.OF,0.249402461491,,,0.000495109032545,48.0
450001.OF,0.520847366844,0.00124200853746,,,53.0
202102.OF,0.520557579622,,0.0868165636394,0.000445685932692,
200009.OF,0.0976974729259,,,,
