,sharpe,jensen,sortino,ppw,stability
340007.OF,0.717418036554,0.00588484578117,0.118686214612,0.00612921646923,56.0
270001.OF,-0.56547196844,,,,49.0
320003.OF,-0.347468250894,0.000290815778781,,,54.0
530001.OF,-0.120029398347,0.00162240363791,-0.015036186458,0.00186720123399,49.0
180010.OF,-0.335825923917,0.000292512504671,,0.000371741205821,48.0
530005.OF,-0.406598925609,,,,53.0
630001.OF,-0.515815113007,,,,
320001.OF,-0.415700013558,,,,
050001.OF,-0.401509167256,,,,52.0
240009.OF,-0.395251641394,,,,
233001.OF,-1.17947215692,,,,
110005.OF,-0.344434762743,,-0.0411675010043,,55.0
002011.OF,0.0871789815012,0.00233450821769,0.0159987693429,0.00235643521715,54.0
450002.OF,-0.381354325599,,,0.000327722235594,
110002.OF,-0.25373290646,0.000663684321172,-0.028432608401,0.000438660463073,53.0
040004.OF,-0.0481108567269,0.00160924439641,-0.00409741530091,0.00154731767602,47.0
121008.OF,-0.00919060692915,0.00228584803348,0.00102940630493,0.0022719776789,51.0
610001.OF,-0.43423576545,,,,50.0
020010.OF,-0.158405837609,0.0016589760083,-0.0199899548759,0.00176489366249,51.0
161005.OF,-0.229204614011,0.000931006979734,-0.0283216244423,0.000986899256437,
121005.OF,-0.135450893707,0.00164509924836,-0.016814528622,0.00150558809978,47.0
310358.OF,-0.538555287867,,,,52.0
519993.OF,-0.680811301224,,,,
213008.OF,-0.131210672058,0.00127876966876,-0.0144181522992,0.00180793304297,
110029.OF,-0.0252136638756,0.00155825437268,-0.000584484812172,0.00201407806586,50.0
257020.OF,-0.227561301483,0.00127392958979,-0.029137813742,0.00137042136674,48.0
040001.OF,-0.551697877059,,,,48.0
360006.OF,-0.321545638695,0.000522899577615,-0.0404328709351,0.000513033380519,48.0
213001.OF,-1.23213616661,,,,
360007.OF,-0.466108199753,,,,52.0
070002.OF,-0.121585592443,0.00120387183759,-0.0150628515816,0.00122445013538,
162605.OF,-0.571467977497,,,,49.0
240002.OF,-0.437236277546,,,,49.0
580002.OF,-1.05004971432,,,,47.0
519110.OF,-0.634000659174,,,,54.0
162006.OF,-0.0796878869857,0.00168097076637,-0.00942479755348,0.00165807430376,
161903.OF,0.0536693932292,0.00263259182804,0.00965645783254,0.00246339926021,48.0
000021.OF,-0.174577471844,0.00109814763181,-0.0224602252774,0.00111899111432,
519087.OF,-0.343908611444,,,0.000369934119531,
260110.OF,-0.547666951753,,,,53.0
160105.OF,-0.736110268918,,,,
240001.OF,-0.00900820156529,0.00228234629593,0.00103890133554,0.00228851224696,49.0
257030.OF,-0.39537535824,,,,46.0
519692.OF,0.0148620259304,0.00219652843369,0.00502663867918,0.00224568947787,49.0
160805.OF,-0.388461559667,,,,
160106.OF,-0.576502276849,,,,
270002.OF,-0.13714313191,0.00159397724424,-0.0159583135271,0.00161441658388,
161606.OF,-0.229054852961,0.00119722246546,-0.0291810832267,0.00115841053347,46.0
519039.OF,0.051719915734,0.00260320169545,0.0103291029074,0.0028203188025,46.0
