date,largecap,smallcap,rise,oscillation,decline,growth,value,convertiblebond,SP500.SPI,SPGSGCTR.SPI,HSCI.HI
2007-12-28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
2008-01-04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
2008-01-11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
2008-01-18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
2008-01-25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
2008-02-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
2008-02-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
2008-02-08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
2008-02-15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
2008-02-22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
2008-02-29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
2008-03-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
2008-03-14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
2008-03-21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
2008-03-28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
2008-04-03,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
2008-04-04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
2008-04-11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
2008-04-18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
2008-04-25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
2008-04-30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
2008-05-02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
2008-05-09,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
2008-05-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
2008-05-23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
2008-05-30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
2008-06-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
2008-06-13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
2008-06-20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
2008-06-27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
