,sharpe,jensen,sortino,ppw,stability
160613.OF,-0.237941085904,,,,
340007.OF,0.244400371604,0.00152012096269,0.0353742879314,0.000727394434421,51.0
040001.OF,-0.179441185882,,,,55.0
213006.OF,-0.318452159278,,,,49.0
166005.OF,0.232744735367,0.00156429897914,0.0358786135552,0.000648330785709,49.0
270001.OF,-0.00262991242891,,,0.000204903151769,49.0
320003.OF,-0.23468343117,,,,
530001.OF,0.39372207853,0.00197677267147,0.0593792581804,0.00131052654363,49.0
180010.OF,0.221388678041,0.00155502029969,0.0324034714116,0.000796605086573,49.0
530005.OF,-0.0063200894634,,,0.000785284310605,51.0
630001.OF,0.502293479133,0.00254640901219,0.0678828826171,0.00164094557596,
320001.OF,-0.0628483027368,,,,52.0
050001.OF,0.0329335291872,,,0.000472065638531,52.0
210003.OF,0.21412335858,0.00163214689095,0.0342699235921,0.00082311663357,
519183.OF,0.0699440693984,,0.0133494042956,,51.0
240009.OF,-0.220692717881,,,,
233001.OF,-0.0696978919081,,,,
290006.OF,0.199003352064,0.00146689747645,0.0286558640049,0.000725370342038,52.0
110005.OF,0.0932872584229,0.000896249138854,0.0157560733194,,51.0
002011.OF,0.185853256325,0.00134087919086,0.0280927403695,0.000882772074435,53.0
450002.OF,0.19187454234,0.00135097209306,0.0288930826714,0.000816244595986,49.0
163805.OF,0.471712929221,0.00221690843604,0.068972725966,0.00192125460175,51.0
110002.OF,-0.129141655977,,,,
040004.OF,0.137998910656,0.00097084250437,0.0233404468375,0.000486494966059,56.0
410007.OF,-0.0631922981483,,,0.000730957109792,
121008.OF,0.0806348151052,0.000821272207607,0.0149184813144,,
200011.OF,0.0549683689353,,,,
350007.OF,0.274800302392,0.00155945805295,0.0430057816857,0.000846756322159,
610001.OF,-0.0666724160895,,,,
020010.OF,0.135117972328,0.00117328568755,0.022193834561,0.000729736027045,50.0
161005.OF,0.420632693174,0.00225611912917,0.0621954440818,0.00165784812365,50.0
180018.OF,0.357146202104,0.00175332388152,0.052933257073,0.00133579531119,56.0
121005.OF,-0.070733891859,,,,
310358.OF,-0.0915191235249,,,,54.0
519993.OF,-0.366016289212,,,,49.0
040011.OF,0.0924094108189,0.000905179041977,0.0156250630655,,53.0
213008.OF,-0.41599454457,,,,
110029.OF,-0.654801196027,,,,
257020.OF,0.0783768449139,0.00102681768655,0.0146485606035,0.000902865832309,49.0
379010.OF,0.179724461828,0.00132091844172,0.0258398579714,0.000544236055831,
660001.OF,0.558001477363,0.00286381387907,0.0762514348352,0.00222918055484,55.0
398041.OF,0.155683057031,0.00117019137766,0.0231986354431,0.000602165972458,
360006.OF,0.170659708222,0.00142937847748,0.0267974873095,0.00119749597013,
213001.OF,-0.0604316148777,,,,49.0
360007.OF,-0.180976269417,,,,49.0
180013.OF,0.471365154653,0.00305287284447,0.0734692783487,0.00305126123215,51.0
070002.OF,0.887452138533,0.0035722544278,0.120080097152,0.00268045048867,53.0
162605.OF,-0.414740502144,,,,50.0
240002.OF,-0.270114791109,,,,53.0
290005.OF,-0.0972388142096,,,,
161609.OF,-0.390516304876,,,,
580002.OF,1.05415438962,0.00470425473627,0.143353004774,0.00375310536913,50.0
519110.OF,0.00675291590925,,,,55.0
162006.OF,-0.138605813366,,,,
161903.OF,-0.139143861803,,,,53.0
570005.OF,0.157373923369,0.00127380119699,0.0246906638876,0.000595749975356,51.0
000021.OF,0.359144042399,0.00236203165458,0.0509448685694,0.00152762539589,49.0
206002.OF,-0.372313839372,,,,54.0
580005.OF,0.960108927596,0.00427407907758,0.123238178076,0.00328065068126,51.0
260110.OF,-0.460618697594,,,,53.0
160105.OF,0.0822676422217,0.000831908032728,0.0145767473298,,
240001.OF,0.103169290017,0.000842773828639,0.0185354809136,0.000341737328096,50.0
310368.OF,0.114849533319,0.00110754720893,0.018482349232,,
620004.OF,-0.817393223974,,,,49.0
257030.OF,-0.214370135483,,,,51.0
519692.OF,-0.00984880463226,,,,49.0
160805.OF,-0.0628631559984,,,,53.0
360010.OF,-0.08966576309,,,0.000256423829522,49.0
519987.OF,-0.133721950138,,,,
660004.OF,0.126102920345,,0.0226783828423,,53.0
270002.OF,0.247089450941,0.00158225192057,0.0361894570689,0.00118158737728,
161606.OF,0.107757494262,0.00117056011012,0.0182397485157,0.0010954748299,50.0
610002.OF,0.278563899601,0.00164408328025,0.0405135772759,0.000768674695248,
519039.OF,0.00884961176224,,,0.000172144923426,
375010.OF,0.315593780682,0.00154053104865,0.0549909687402,0.00168195237618,50.0
070011.OF,0.654441539083,0.00330457633102,0.0899159596533,0.00229801067887,51.0
400003.OF,0.0138520075939,,,,48.0
519668.OF,0.287011422889,0.00162824920482,0.0398596245885,0.000662713214188,53.0
020015.OF,0.788609293661,0.00321729089698,0.116637889796,0.00245432713435,51.0
360005.OF,-0.0555080015722,,,0.0003916919223,
288002.OF,-0.0775801038297,,,,49.0
162607.OF,-0.0740289190323,,,,55.0
519066.OF,0.287422830065,0.001546459364,0.041074155261,0.000809136005961,51.0
160314.OF,0.114647174971,0.00105181214742,0.018870353222,0.000383808956894,51.0
519991.OF,-0.574869050746,,,,53.0
270008.OF,0.299516995415,0.00180782897331,0.040554703109,0.000614652107357,49.0
310388.OF,0.132150880923,0.00122669684463,0.0212935619691,0.000169446924683,49.0
161601.OF,-0.471120179173,,,,48.0
160910.OF,-0.0339417112301,,,,
400011.OF,-0.442496922424,,,,53.0
540002.OF,0.0983261277562,0.000879479529478,0.0173603688625,,53.0
519690.OF,-0.186841933374,,,,53.0
160605.OF,0.0644186071134,,0.0131401353802,,49.0
519017.OF,0.566173649989,0.00288965106052,0.0781170168009,0.00196751470791,50.0
180012.OF,0.595471806945,0.00303227071769,0.0858319287527,0.00216868754082,51.0
580003.OF,0.944473510401,0.00514371741913,0.126135876543,0.00426400934334,51.0
257040.OF,-0.40976705118,,,,
519181.OF,0.0521065600302,,,0.000272420176167,52.0
163804.OF,0.455736008109,0.00188497818082,0.0674959326466,0.00135737835919,49.0
540004.OF,0.279309732911,0.00171583960774,0.0441689613731,0.00127174487556,54.0
373020.OF,0.175932090893,0.000996818313927,0.0262526531242,0.000440797119328,49.0
519001.OF,0.294559612782,0.00208017703483,0.0446348817517,0.00166860756902,49.0
530006.OF,0.292044613774,0.00151202644331,0.0413061367473,0.000970358830169,56.0
400001.OF,0.445718377935,0.00175028372642,0.0678930242744,0.0015982115918,51.0
020005.OF,0.0198138036389,,,0.000446022926597,53.0
571002.OF,0.111313387072,0.000914772114779,0.0194054637432,,
040005.OF,-0.118322347059,,,,51.0
166001.OF,-0.657098459724,,,,51.0
210002.OF,0.319554246363,0.00177321713813,0.0454436206632,0.00125964738991,51.0
530003.OF,0.0499298602194,,,,51.0
050201.OF,-0.0686010128286,,,0.000188252116998,49.0
217010.OF,0.225715551072,0.00143986086849,0.0330434751124,0.000850255985864,51.0
