,sharpe,jensen,sortino,ppw,stability
180010.OF,0.559486668574,0.0023292007561,0.087691403748,0.00236069140455,50.0
530005.OF,0.361551583413,0.00162956873388,0.0509643031496,0.00167590333546,54.0
320001.OF,0.619367331686,0.00203759656357,0.0848236143142,0.00203667151211,53.0
290006.OF,0.609170585688,0.00283877454483,0.0870568510529,0.00267166837186,51.0
580007.OF,0.130431522376,0.00104337592071,0.0205878321332,0.00103108562346,51.0
519704.OF,0.746909584871,0.00265255224817,0.108537988516,0.0025988662086,
470006.OF,0.61703406939,0.00245390612442,0.0921536739494,0.00277634165038,
481010.OF,0.447335193881,0.0021152014082,0.0570631398615,0.00200245505995,52.0
180018.OF,0.681416069748,0.0026379243754,0.0997642357709,0.00264047493629,53.0
519993.OF,0.300564354516,0.00182582978357,0.0422811100851,0.00201503703883,52.0
050026.OF,0.894071010388,0.00353590564328,0.113539498188,0.00347269325084,50.0
070011.OF,-0.107227576867,,,,50.0
257020.OF,0.119764441411,0.0010409748213,0.0222522940366,0.00106667802925,49.0
162212.OF,-0.234166696025,,,,51.0
398041.OF,0.0588936182975,,,0.00103186978755,48.0
213001.OF,1.90226655162,0.00598514678776,0.2550470981,0.00576289280681,55.0
070032.OF,0.306393998506,0.00164490861245,0.0465658370428,0.00168901691305,51.0
710001.OF,0.487974374375,0.0033561447688,0.0680575586931,0.00324716983473,48.0
163415.OF,0.652785402224,0.00283250599269,0.104283699363,0.00272743609386,48.0
519156.OF,-0.56970260022,,,,
162006.OF,-0.0331354177205,,,,47.0
000021.OF,-0.317301898422,,,,54.0
206002.OF,0.325349458197,0.00163383212076,0.0427229312489,0.0018497784688,53.0
580005.OF,0.261726114737,0.00132405891811,0.0407954337102,0.00136480195885,
260110.OF,0.18568234375,0.00134107149426,0.028029466287,0.00116181273516,49.0
160105.OF,0.303676435647,0.00136955746402,0.0446724769629,0.0013421010352,
519712.OF,-0.148357652734,,,,50.0
519692.OF,-0.328924062125,,,,52.0
160805.OF,0.106756091625,0.000936957118783,0.0172010315827,0.00112535386778,
162207.OF,0.488196254364,0.00197303586943,0.0689311379385,0.00215573280844,48.0
660004.OF,-0.472280342949,,,,50.0
519183.OF,-0.159490165502,,,,
161606.OF,-0.0508922867716,,,,50.0
620008.OF,-0.347503752724,,,,
400003.OF,0.321327067102,0.00189240653577,0.0486100950059,0.00185369581253,51.0
519668.OF,0.166806520442,0.00108846308031,0.0262446947029,0.00107432301008,
570008.OF,0.215631872389,0.0015725600528,0.0307765832391,0.00150197439007,48.0
360005.OF,-0.263359868488,,,,53.0
288002.OF,0.392241796723,0.0016309833312,0.064898630023,0.0017850214592,50.0
270025.OF,0.813723050864,0.00318612403638,0.112278996077,0.00323277834558,56.0
519066.OF,-0.383100427041,,,,
519991.OF,0.751608730303,0.00308441088506,0.0948326518958,0.0030456963648,47.0
540002.OF,-0.330889997026,,,,
161601.OF,-0.557900823531,,,,47.0
762001.OF,0.525741684076,0.00198685123246,0.0700945044845,0.00173228966949,47.0
519690.OF,-0.461515375923,,,,49.0
