,sharpe,jensen,sortino,ppw,stability
110035.OF,1.46449165995,0.00152989616372,0.239326420245,0.00149101042742,51.0
100058.OF,1.7130750001,,0.311549119005,0.000670334011208,
240003.OF,0.68567807645,,0.149924059403,,52.0
121009.OF,0.678805446668,0.000814074468335,,0.000798288472915,
161902.OF,0.841207730361,,0.139344811178,,53.0
166003.OF,1.00698735806,,0.147969877718,,51.0
470059.OF,0.64386795671,0.00244256282325,,0.0021968744647,52.0
040010.OF,0.679041977401,,,,51.0
050019.OF,0.558413509973,0.00225914674816,,0.00181126148048,52.0
371120.OF,0.407480554115,,,,
620007.OF,0.411528521937,,,,
100037.OF,0.622935760484,0.00142562032698,,0.00142727706621,52.0
217022.OF,1.55647953965,0.00106669416081,0.25966004665,0.000987221164227,52.0
040012.OF,0.874223010868,0.000803154606723,0.190455011182,0.000798505473994,
610103.OF,0.308764148624,,,,49.0
320008.OF,1.39647641338,0.00084926523516,0.235378830907,0.00072681864036,
519685.OF,1.30945324593,0.00299712511884,0.20647779733,0.00280899124145,49.0
531020.OF,0.58406711087,0.00185431731001,,0.00155437890353,53.0
290007.OF,1.79118981116,0.00095007993922,0.283690058836,0.00093628976045,52.0
163806.OF,0.429708297212,,,,
161820.OF,2.40715824576,0.000959557500476,0.378322315379,0.000941122860394,49.0
519680.OF,1.31854535929,0.00157038814941,0.202891782076,0.00144391791604,53.0
519666.OF,1.34332068214,0.000872504992511,0.252502955348,0.000883789642664,49.0
001001.OF,1.82075854884,0.000826381922855,0.258796807147,0.000835112855726,
161713.OF,1.50021785442,0.0010948721724,0.220982021438,0.00102144617548,52.0
160612.OF,-0.144007692023,,,,
660102.OF,1.28672840042,0.000928757618904,0.229470400129,0.000871622824104,54.0
100036.OF,0.648856295488,0.0014944409776,,0.001495567181,52.0
519682.OF,1.2363785056,0.00148995793636,0.19460204887,0.00136289917005,52.0
040013.OF,0.750635795375,0.000716360360795,0.166181634501,0.000724283418544,54.0
255010.OF,1.18320892173,0.0043114294131,0.180696125983,0.00439530703971,
700004.OF,0.554244305587,,,,
530020.OF,0.610956532725,0.00191548167337,,0.00162182849229,53.0
001033.OF,-0.128269790415,,,,
121001.OF,0.940350532941,0.00230650889807,0.136239192655,0.00237644151751,49.0
519681.OF,1.31854535929,0.00157038814941,0.202891782076,0.00144391791604,53.0
320004.OF,0.344982639095,,,,53.0
261002.OF,0.964813234504,0.00111599567421,0.151169251901,0.00109044069102,51.0
160602.OF,0.111622749949,,,,
320009.OF,1.16381870911,0.000733976347805,0.208767718611,,
020019.OF,0.925514480537,0.000901538753125,0.142481555766,0.000918178178496,
371020.OF,0.634503456392,,,,
310378.OF,0.877959088947,0.000930211951465,0.151542603749,0.000808256416968,57.0
582202.OF,0.0384308481367,,,,51.0
163823.OF,1.09333747118,,0.201381791145,0.000647522146276,51.0
217011.OF,1.1171053858,0.000855118624254,0.258507840848,0.000786899609313,51.0
582002.OF,0.178048765662,,,,52.0
630003.OF,1.18675364106,0.00226157180955,0.166702081164,0.0019421501381,
541005.OF,0.376778909575,,,,
485005.OF,1.31616173421,0.000967873406993,0.214893595807,0.000895178267971,53.0
