,sharpe,jensen,sortino,ppw,stability
160613.OF,0.727711505432,0.00175050815989,0.100184802056,0.00163466808501,
340007.OF,1.47870671947,0.00421556824925,0.201968573874,0.00417341822759,51.0
213006.OF,0.278369287814,,,,
270001.OF,0.639051674266,,0.100758946877,,50.0
320003.OF,0.526507822274,,,,49.0
530001.OF,0.784132528646,0.00165991569021,0.119123547341,0.0016976895237,48.0
180010.OF,0.943999441514,0.00244731341456,0.136267323032,0.00238728458662,49.0
530005.OF,0.499970455311,,,,48.0
630001.OF,0.866070635038,0.00215091131948,0.125611148242,0.00213438030248,48.0
320001.OF,0.522263134584,,,,51.0
050001.OF,0.463912669236,,,,50.0
519183.OF,0.511163577142,,,,49.0
240009.OF,0.5863581035,,,,51.0
233001.OF,0.0555139154422,,,,
290006.OF,0.685917189343,0.00126457304345,0.0990726160156,0.00114996808113,52.0
110005.OF,0.702788808934,0.00131756269119,0.0998163494112,0.00123253990988,53.0
002011.OF,0.986879573378,0.00252388546165,0.139034836387,0.00251255286873,52.0
450002.OF,0.687655925791,0.0012773018954,0.0986713286876,0.00113910862573,
163805.OF,0.97595119699,0.00228869702055,0.151003389058,0.00237808595171,
110002.OF,0.506537305042,,,,50.0
040004.OF,0.713256974919,0.00113539700381,0.104382242602,0.00114786303758,
121008.OF,1.0317597973,0.00267548718529,0.14370627627,0.00263607683733,48.0
610001.OF,0.804489161967,0.00157558605015,0.113945665954,0.00153958217987,52.0
020010.OF,0.887643102852,0.00192052508284,0.135880398298,0.00198027590846,52.0
161005.OF,1.07795774128,0.00262836099192,0.153645352071,0.00271441090874,48.0
180018.OF,0.931765928232,0.00177370390049,0.130716167222,0.00166346186622,
121005.OF,0.547804523335,,,,
310358.OF,0.31093874047,,,,48.0
519993.OF,0.136633088175,,,,47.0
040011.OF,0.972445785729,0.00232422016795,0.133966512162,0.00220813351698,49.0
213008.OF,0.490454293485,,,,
110029.OF,-0.135303553354,,,,49.0
257020.OF,0.297301321455,,,,
379010.OF,0.402069070193,,,,50.0
040001.OF,0.32511269903,,,,52.0
360006.OF,0.920432275255,0.00205787584207,0.13404868905,0.00198799596774,52.0
213001.OF,-0.590124057594,,,,50.0
360007.OF,0.477939370963,,,,49.0
180013.OF,1.13986359047,0.00400129202952,0.170981192878,0.0038607930077,50.0
070002.OF,1.41318724391,0.00360317760041,0.186359673446,0.0034372723682,57.0
162605.OF,0.384046811752,,,,48.0
240002.OF,0.541734250081,,,,47.0
290005.OF,0.0193849518581,,,,48.0
161609.OF,0.333242038852,,,,49.0
580002.OF,0.746640424958,0.00179671905798,0.109545810802,0.00180107942772,
519110.OF,0.743264379018,0.00133355554165,0.106414174348,0.00127945952793,51.0
162006.OF,0.769413677687,0.00148652289578,0.10992175684,0.00142677634582,
161903.OF,0.264914471605,,,,50.0
000021.OF,0.429234220754,,,,
519087.OF,1.29122569454,0.00338214169437,0.18766125584,0.00343401589308,
580005.OF,0.0121009784015,,,,
260110.OF,0.247991755104,,,,48.0
160105.OF,0.790847772783,0.00157141158043,0.109372566682,0.00159058483456,54.0
240001.OF,1.05612156782,0.00249762270754,0.156329787285,0.00235737915075,
310368.OF,0.671967210745,0.00132870635687,0.094565127841,0.00134769448681,50.0
257030.OF,0.180420598802,,,,
519692.OF,0.593339972817,,0.0940255650635,0.00096784446707,49.0
160805.OF,0.48344028547,,,,53.0
360010.OF,0.565633099833,,,,48.0
160106.OF,0.798800492186,0.00175117386123,0.113591423529,0.00173207586438,50.0
270002.OF,0.474978873422,,,,50.0
161606.OF,0.765687643553,0.00179016274839,0.109459747688,0.00175663877729,47.0
610002.OF,0.846110417371,0.00178626814082,0.113942999396,0.00170266348942,56.0
519039.OF,0.448375473662,,,,52.0
375010.OF,1.13461567473,0.0025025985015,0.17483914666,0.00250900323273,
070011.OF,1.19185009278,0.00342232741639,0.162112653584,0.00331826306846,52.0
400003.OF,0.965316256841,0.00239017126725,0.135370421544,0.00231710967133,
519668.OF,1.31892527492,0.00376529161858,0.179474249354,0.00378643941817,47.0
360005.OF,0.596733005027,,,,49.0
288002.OF,0.673328368708,0.00110998700298,0.100322490723,0.00107544619017,48.0
162607.OF,0.519355743511,,,,
519066.OF,0.882405607338,0.00213570735563,0.12215861825,0.00211901999206,54.0
160314.OF,0.939907309685,0.00236600741218,0.130989829327,0.00230510763551,52.0
519991.OF,0.165773299409,,,,50.0
270008.OF,0.737208165724,0.00167142246538,0.10162840597,0.00164373790637,54.0
161601.OF,0.263028923986,,,,
160910.OF,0.522617405375,,,,51.0
540003.OF,1.09174237672,0.00260478474431,0.151204548126,0.00265257179701,
540002.OF,0.962873940708,0.00216712351958,0.130866516679,0.00216955869801,49.0
519690.OF,0.375016258626,,,,52.0
160605.OF,0.888155289804,0.00200823020408,0.129520408542,0.00197895712326,48.0
519017.OF,0.613571961124,0.000957488626182,,0.000923895750761,49.0
