,sharpe,jensen,sortino,ppw,stability
660102.OF,-1.62232465093,,,,
161902.OF,-0.0219562989386,-0.000389531355217,0.0224247574607,-6.65644651846e-05,
166003.OF,-1.30516195548,-0.000978809612824,,-0.00113731151046,46.0
040010.OF,-0.424558566032,-0.000591146123274,-0.039144462698,0.000204165048345,
001013.OF,-0.879356093296,-0.00108677126256,-0.0825447587524,-0.00128433262801,53.0
371120.OF,-1.3502410264,-0.00115876521851,,-0.00106221311617,
100037.OF,-1.5036448858,,,,
040012.OF,-1.53884094965,-0.00115329139181,,,
610103.OF,-0.978974407486,,,,
320008.OF,-2.23620839627,,,-0.00150192740367,
290007.OF,-1.34894412972,-0.00117934101353,,-0.00121098270429,
519680.OF,-0.796492432798,,-0.0882192072332,,50.0
519666.OF,-1.11619507285,-0.000969476623585,,-0.0012943578631,49.0
001001.OF,-1.18818515989,-0.00111255042394,-0.100089890288,-0.000947868966478,
161713.OF,0.90734391752,0.000244116541944,0.151722046125,0.000550446164082,49.0
160612.OF,0.533773848689,-0.000286416493572,0.114979937218,-0.000196100818664,48.0
121009.OF,-0.624473766681,-0.000983588837861,-0.0679486654167,-0.00104798113959,48.0
100036.OF,-1.43110610085,,,,
519682.OF,-0.870314950919,,-0.097256303527,,50.0
040013.OF,-1.75229342497,-0.00121473377908,,,
255010.OF,-1.79739698617,,,,
121001.OF,-1.0656109468,,,,
519681.OF,-0.796492432798,,-0.0882192072332,,50.0
320004.OF,-0.629595546544,-0.000487057636845,-0.0749048366918,-0.000665253327605,47.0
160602.OF,0.0231272310578,-0.000371250575718,0.042245594326,-0.000167867704521,49.0
320009.OF,-2.54421170492,,,,
020019.OF,-0.765076872777,,-0.0678782427288,,
371020.OF,-1.21012703568,-0.00109500172314,,-0.000986993935546,
310378.OF,-1.46728990972,,,,46.0
070015.OF,-0.795813103376,-0.000932854423985,-0.084950593999,-0.00126556759462,46.0
217011.OF,-0.0625892610266,-0.000834605927311,0.00191056146148,-0.00109204541573,50.0
630003.OF,-1.70098586378,,,,
485005.OF,-0.780621784853,,-0.0850028634723,,53.0
050019.OF,-1.42913505861,,,,
100018.OF,-0.945524392542,,,,52.0
070016.OF,-0.881307005338,-0.000989723812475,-0.0950691366152,-0.00142557686372,54.0
253021.OF,-0.375144138486,-0.000608366896791,-0.0379739581456,-0.00135358840701,55.0
161010.OF,-0.548760051198,-0.000517210362978,-0.0524998100331,-0.000879004331373,49.0
519989.OF,-1.22550736787,,,,
340001.OF,-1.45414425653,,,,
091008.OF,-1.53865724875,,,,50.0
164902.OF,-0.552962018266,,-0.0666429475586,,47.0
020012.OF,-1.18451539779,,,,
550006.OF,-1.19427809306,-0.000949156515138,,-0.0012260567274,50.0
161603.OF,-1.15861842739,-0.00116058041294,,-0.00126551840675,48.0
460003.OF,-0.969463814586,,,,50.0
