,sharpe,jensen,sortino,ppw,stability
121009.OF,-1.9317970085,-0.00102056844918,-0.183569959065,-0.00131713814997,57.0
161902.OF,-1.79754326444,-0.00100609359881,-0.202822079425,-0.0011629026679,
166003.OF,-2.53838179981,-0.0010594769426,,-0.00112903586256,
040010.OF,-0.97057563003,-0.000873856809035,-0.0967337624068,-0.000967074497421,
001013.OF,-2.11176356531,-0.00113938821409,,-0.00119860134429,55.0
371120.OF,-2.95203151792,-0.000997721157842,,-0.00106841771103,49.0
100037.OF,-1.57623388632,,-0.165908484859,,
040012.OF,-2.16619420804,,,-0.00131465656232,
610103.OF,-1.7898175355,,-0.199321350399,,
320008.OF,-3.5334136113,,,,
290007.OF,-1.6842009782,-0.00104239589735,,-0.00117686905525,
519680.OF,-2.51680525388,,,,
519666.OF,-2.52363452721,,,,
001001.OF,-2.66241391424,-0.00118039305701,,-0.00135133714627,55.0
161713.OF,-1.68756519846,-0.000747646787747,-0.174795383761,-0.00107442778488,
160612.OF,-1.59636906333,-0.000271183575058,-0.161994188679,-0.000396007811129,52.0
100036.OF,-1.5375911991,,-0.156465760156,,
519682.OF,-2.58194139824,,,,
040013.OF,-2.3197978232,,,-0.00138066684184,
255010.OF,-1.57571843792,,-0.202937961803,,46.0
121001.OF,-1.93753518255,,-0.199047756303,,
519681.OF,-2.51680525388,,,,
320004.OF,-1.18539705528,-0.000394857348916,-0.132116694764,-0.000475660393822,51.0
160602.OF,-2.10140613569,-0.000424411051443,,-0.000586827185906,53.0
320009.OF,-3.62060973659,,,,
020019.OF,-1.82358846211,,-0.192768614157,,47.0
371020.OF,-2.79779041371,-0.000910435021554,,-0.000989185527697,49.0
310378.OF,-1.3831482557,-0.000990660986425,-0.138110673215,-0.000888683672128,51.0
070015.OF,-1.15207307138,-0.000631473006902,-0.135096709436,-0.000770910653225,46.0
217011.OF,-1.86022100986,,,,
630003.OF,-2.82212449697,,,,
485005.OF,-1.56026664085,-0.000992887998687,-0.160750916798,-0.00118200441211,48.0
100018.OF,-2.13081067838,,,,46.0
070016.OF,-1.26195492635,-0.000671375476453,-0.149419029302,-0.00084841267914,
253021.OF,-1.44740603253,-0.000980402436503,-0.161132559834,-0.000923988816148,
161010.OF,-1.46093297856,-0.00044719902998,-0.150690867203,-0.000540991489186,46.0
519989.OF,-1.91012689,,-0.189652265861,,
340001.OF,-1.81632168848,,-0.191494837906,,
091008.OF,-2.25242516096,,-0.20248497522,,46.0
020012.OF,-1.82260996013,,-0.172205687024,,54.0
550006.OF,-1.60131079957,-0.000908502090643,,-0.000953735968301,
161603.OF,-3.29511584397,,,,54.0
460003.OF,-2.67516384537,,,,47.0
180015.OF,-2.55737010525,,,,46.0
519187.OF,-2.00815734659,,-0.161558568258,,
217003.OF,-1.69305228695,-0.000418467018783,-0.176008543507,-0.000729271098757,
450005.OF,-1.4543219078,-0.000777008348063,-0.168057064852,-0.000902027800332,
530008.OF,-0.660353734669,-0.000116542242993,-0.073863847042,-0.000397390717057,51.0
270009.OF,-0.502705148236,3.50671511535e-05,-0.0480387338124,-2.78136999889e-05,52.0
213007.OF,-2.07058010741,,,,
630107.OF,-2.26553098646,,,,47.0
100035.OF,-1.5375911991,,-0.156465760156,,
040009.OF,-0.928526213603,-0.000822642029873,-0.0920716106059,-0.000916358336268,47.0
550004.OF,-2.32318583142,,,,
560005.OF,-2.80242863006,-0.00114971412949,,-0.00110993781642,
420102.OF,-2.30115629214,-0.000606097781418,,-0.000608189196486,52.0
582001.OF,-3.1141799326,,,,48.0
050116.OF,-1.56951092665,-0.000578738934438,-0.177249383704,-0.00106117800034,53.0
050016.OF,-1.47346920109,-0.000513632111842,-0.160737455282,-0.000996948019064,53.0
050111.OF,-2.67361856958,,,,49.0
162205.OF,-1.21934659896,-0.00105646109877,-0.138805670304,,54.0
050106.OF,-1.42687600659,,-0.182028034445,,
550005.OF,-2.41982999371,,,,51.0
163806.OF,-0.970716099784,-0.000206925250481,-0.101266797886,-0.000249903761584,51.0
240012.OF,-2.38461879244,,,,53.0
090002.OF,-1.85589338483,-0.000586886613204,,-0.000722397175347,54.0
519985.OF,-3.6202020057,-0.000462855154264,,-0.000437149863161,50.0
217008.OF,-1.94266048699,,,,51.0
240003.OF,-2.26687694043,,,,49.0
070005.OF,-1.8938358499,-0.000847245230433,,-0.00116325906697,55.0
519519.OF,-2.60157307525,,,,54.0
165509.OF,-2.98144516843,-0.00105901113862,,-0.00103791020392,49.0
110017.OF,-0.866654107393,-0.000262806697414,-0.0953492393853,-0.000553034716271,51.0
400009.OF,-2.14860509115,-0.000860262208542,-0.195661117463,-0.00111146330534,52.0
206003.OF,-2.42857988824,-0.00100345526292,,-0.0011826633398,47.0
110018.OF,-0.986443255115,-0.000358199065394,-0.113108207299,-0.000634960917322,51.0
070009.OF,-2.38833679262,-8.13245912337e-05,-0.152085328817,-8.11004389831e-05,48.0
690202.OF,-2.17488725122,,,,48.0
420002.OF,-2.45862715058,-0.000680573142268,,-0.000686000636683,51.0
240013.OF,-2.4611020116,,,,53.0
151002.OF,-0.7346709615,-0.000535589863604,-0.0731663899638,-0.000916657708639,47.0
288102.OF,-1.69616510604,-0.000725747547666,-0.178794795691,-0.000855618477465,53.0
253010.OF,-3.34946408877,,,,47.0
470078.OF,-1.97802238563,-0.00109617337155,,-0.00121287074547,53.0
090006.OF,-0.489349387906,,-0.0669863858393,,48.0
350001.OF,-1.4421376146,,-0.174300631686,,47.0
121012.OF,-2.07861772466,,-0.192823301556,,49.0
395001.OF,-1.97474166716,,,,51.0
573003.OF,-2.20302807493,,,,52.0
531009.OF,-1.49156520564,-0.000939604499947,-0.16887398885,-0.00116755363328,
485011.OF,-0.974690070498,-0.000466997878213,-0.108906634212,-0.000636872223557,51.0
519023.OF,-2.97822917078,,,,49.0
020020.OF,-1.86514368571,,-0.197348016046,,50.0
519111.OF,-2.24515647393,-0.00106619823117,,-0.00107486522194,49.0
485105.OF,-1.48733724042,-0.000919173143374,-0.152804230396,-0.00110841008653,48.0
110007.OF,-1.73281344883,-0.00116078093708,-0.185837641652,-0.00123616530284,49.0
180002.OF,-3.20186920492,-0.000632713489429,,-0.000697509468616,53.0
202101.OF,-1.27980762962,-0.000991003748763,-0.141991737691,,
485107.OF,-2.16973361235,,,,
450001.OF,-1.01363008514,,-0.1285874653,,47.0
202102.OF,-1.69729876112,,-0.194739026523,,50.0
485111.OF,-0.906419337728,-0.000407352546219,-0.101597071474,-0.000570358971408,50.0
200009.OF,-2.54452035241,,,,52.0
519112.OF,-2.32649574512,-0.00112832335793,,-0.00114177684059,50.0
610003.OF,-1.70973732172,,-0.184012980766,,
450006.OF,-1.51257781323,-0.000828925797224,-0.175143739003,-0.00095363993574,52.0
510080.OF,-2.65215305386,,,,54.0
410004.OF,-1.9323482311,,-0.202735638716,,
092002.OF,-1.96127886406,-0.000649075713467,,-0.000782113152642,53.0
410005.OF,-1.98653233654,,,,47.0
162299.OF,-2.03989750333,,,,51.0
