,sharpe,jensen,sortino,ppw,stability
151002.OF,-1.25496883867,,,,49.0
288102.OF,1.27010817195,-0.000269856885897,0.280353360051,1.53375580118e-05,52.0
253010.OF,-2.50615123362,,,,58.0
485005.OF,1.18116566192,-0.000136003013107,0.258367591201,7.09364480686e-05,56.0
161902.OF,0.805796564969,-0.000306310585607,0.155628141615,-0.000151413775695,
350001.OF,-2.70989124479,,,,55.0
100018.OF,-0.2531692323,,,,54.0
162205.OF,-1.45392197396,,,,
340001.OF,-1.58817200824,,,,
050106.OF,1.96537142953,0.00014171079637,0.494576269941,0.000298906273209,
519666.OF,0.635671205763,-0.000170431016336,0.149529032263,-8.16256476483e-05,54.0
092002.OF,1.93161636159,0.000143589180318,0.609693392928,0.000278137649739,
090002.OF,2.08175118926,0.000233047469557,0.642318876117,0.00037055470126,
161603.OF,1.63792882345,0.000257587168076,0.30405253138,0.000221094010576,52.0
460003.OF,1.43044344026,0.000138734266071,0.359682697235,8.3137333578e-05,
001001.OF,1.91017777126,9.13613973239e-05,0.608359344966,0.000305337129221,52.0
110007.OF,1.56334053854,-0.000120348355814,0.429053176487,2.16934036753e-05,49.0
320004.OF,-0.66706350835,,,,52.0
217008.OF,-1.15423672697,,,,57.0
217003.OF,1.41160512638,6.46641158649e-05,0.337931458746,3.68908825857e-05,48.0
180002.OF,-1.56306676855,,,,
255010.OF,-2.31697266978,,,,53.0
240003.OF,0.313117413946,-0.000280133162256,0.0964499258927,-0.000202198764653,57.0
450001.OF,-2.13294221275,,,,
202102.OF,-0.128798980603,,,,54.0
070005.OF,-0.647594603337,,,,51.0
519519.OF,1.55425479969,0.00021559188446,0.386675174179,0.000160853626128,
121001.OF,-2.16728028212,,,,
090006.OF,-2.24910124877,,,,56.0
510080.OF,-0.990419068881,,,,52.0
485105.OF,1.28128050607,-6.43135972987e-05,0.279004771043,0.000142856968315,55.0
070009.OF,2.4369805977,0.000204702327989,0.766991053345,0.000192028920447,
160602.OF,1.57298884729,0.000325461136613,0.420895805147,0.000253523733531,50.0
202101.OF,-2.24230907159,,,,55.0
