"","V1","V2","V3","V4"
"result","code","shape","r","sd"
"res","X1055","0.450943920347884","0.000404881495934959","0.000897853319815489"
"res","X497","NaN","0","0"
"res","X938","0.207906421183647","0.000248654739837398","0.00119599355528206"
"res","X937","0.221175171084564","0.000272361235772358","0.0012314277160352"
"res","X1020","0.0366254169546654","0.000181273422764228","0.00494938864419227"
"res","X998","0.0632085312150557","0.00026428487804878","0.00418115834948923"
"res","X997","0.0605620789893998","0.000256394008130081","0.00423357342430332"
"res","X1019","0.27288664366489","0.000426395674796748","0.00156253772288089"
"res","X931","0.181375213489669","0.000443486016260163","0.00244513022329494"
"res","X240","0.210893378070105","0.000254553577235772","0.00120702498848093"
"res","X239","0.214243641302364","0.000267915097560976","0.00125051598232903"
"res","X737","0.460840624246866","0.000417512349593496","0.000905979915021208"
"res","X890","0.0135800897714041","6.92176991869919e-05","0.00509699864670594"
"res","X889","0.0182011838264711","9.33625447154471e-05","0.00512947650029578"
"res","X519129","0.0468233596503059","0.000279996024390244","0.00597983627149691"
"res","X736","0.490470565150702","0.000439642975609756","0.000896369745398833"
"res","X840","0.392741755240982","0.000302457073170732","0.000770116925777723"
"res","X519128","0.0493410152383207","0.000295370178861789","0.00598630120266333"
"res","X813","0.175668857263595","0.000421429601626016","0.00239900007429121"
"res","X839","0.41135746400649","0.000309602447154472","0.000752636026435603"
"res","X899","0.552063869147287","0.000307927","0.000557774230861406"
"res","X898","0.526332659094603","0.000322809471544715","0.000613318337684026"
"res","X420","0.550428843984382","0.000369011837398374","0.000670407885472013"
"res","X419","0.541605934616723","0.000368307048780488","0.000680027719860801"
"res","X162716","0.429435589448443","0.000421987764227642","0.000982656711730935"
"res","X914","0.526244729210469","0.000211182235772358","0.000401300429344341"
"res","X817","0.402291910940893","0.000329711796747967","0.000819583461116152"
"res","X910","0.530149069575932","0.000217237691056911","0.000409767183465359"
"res","X909","0.15714612358694","0.000495670739837398","0.0031542027797025"
"res","X562","0.493496486086779","0.000420660886178862","0.000852409080993721"
"res","X802","0.354736159442351","0.000336212959349593","0.000947783163346313"
"res","X561","0.491091429616047","0.000442165203252033","0.000900372469537359"
"res","X162715","0.456092306097889","0.000442229422764228","0.000969605092766714"
"res","X769","0.513089835671387","0.000205319121951219","0.000400162130833396"
"res","X801","0.359224538689439","0.000342880219512195","0.000954501106085702"
"res","X400030","0.784507973260016","0.000379627091869919","0.000483904695439081"
"res","X814","0.486073166808928","0.000217480010569106","0.000447422374694869"
"res","X266","0.33174739061207","0.000310532024390244","0.000936049636493947"
"res","X265","0.338404512979793","0.000325137699186992","0.000960795990349002"
"res","X490","0.517455929223966","0.000409458967479675","0.000791292445124254"
"res","X438","0.556251614520433","0.000572532040650406","0.00102926809685579"
"res","X489","0.541533028425477","0.000423883040650406","0.000782746422471883"
"res","X416","0.424919944766019","0.000502458455284553","0.0011824779266627"
"res","X437","0.572413790342938","0.000586058788617886","0.00102383764770372"
"res","X632","0.477004084681212","0.000184830089430894","0.000387481146108882"
"res","X415","0.420836443401722","0.000515801707317073","0.00122565836539185"
"res","X161828","0.458805541171085","0.000175813951219512","0.000383199276039154"
"res","X766","-0.030162176962944","-0.000165399788617886","0.00548368205720328"
"res","X160134","0.377633045771911","0.000645285317073171","0.00170876284344808"
"res","X765","-0.0314879664516954","-0.00017947206504065","0.0056997032601636"
"res","X768","0.157517987091029","0.00100562826829268","0.00638421228498515"
"res","X728","0.201634836493287","0.000327981056910569","0.00162660908508976"
"res","X160622","0.26414715979302","0.000645083829268293","0.00244213804825222"
"res","X631","0.142863532133407","0.000539267227642276","0.00377470177020896"
"res","X720","0.431217549153835","0.000317341658536585","0.000735920092211681"
"res","X469","0.305771354179414","0.000345678780487805","0.00113051394698332"
"res","X299","0.365171169404587","0.000502568869918699","0.00137625560839904"
"res","X164510","0.438142990822788","0.000162818617886179","0.000371610687142163"
"res","X611","0.157407237434055","0.000114941666666667","0.000730218435571117"
"res","X465","0.640825594291043","0.000521801910569106","0.000814265090560848"
"res","X485019","0.682057617742611","0.00048511025203252","0.000711245266401507"
"res","X165807","0.604349829473033","0.000820892024390244","0.00135830604123116"
"res","X752","0.262113702794439","0.000290896138211382","0.00110980896881807"
"res","X16","0.47769255374283","0.000491723609756098","0.0010293725658969"
"res","X694","0.652575115180498","0.00049779706504065","0.000762819564308643"
"res","X33","0.563799648689186","0.000583531130081301","0.00103499732828495"
"res","X298","0.334255402785805","0.000469183878048781","0.0014036687937979"
"res","X160810","0.388321254091656","0.000409087853658537","0.00105347788550863"
"res","X782","0.194542716204692","0.000287151634146341","0.00147603384875232"
"res","X781","0.199924170504326","0.000309820422764228","0.00154968967475358"
"res","X162108","0.437138263221024","0.000366091032520325","0.000837471947257163"
"res","X396","0.474002161290495","0.000336462113821138","0.000709832446554891"
"res","X655","0.616598427515785","0.000496017845528455","0.00080444228105943"
"res","X85","0.439221356408721","0.000262688804878049","0.000598078397248065"
"res","X519122","0.049937501928475","0.000353580796747968","0.00708046624467515"
"res","X166022","0.438368980723102","0.000161465536585366","0.000368332486297329"
"res","X317","0.464260639684665","0.000176376317073171","0.000379907969783889"
"res","X387","0.47354287626766","0.000180085926829268","0.000380294870548277"
"res","X498","0.0268275906988511","0.00023282662601626","0.00867862599477601"
"res","X270045","0.49373102585651","0.000623014601626016","0.00126185021600623"
"res","X395","0.449208978681268","0.000320926861788618","0.000714426641094208"
"res","X15","0.484585296045859","0.000509202284552846","0.00105080011446459"
"res","X745","0.410034866032073","0.000942283162601626","0.00229805619146524"
"res","X485119","0.694188877809603","0.000494149967479675","0.000711837920882401"
"res","X40041","0.53579189579839","0.000527978772357724","0.000985417615492254"
"res","X70038","0.580552522010153","0.000464706495934959","0.000800455563134789"
"res","X519121","0.0508937474032563","0.000359217146341463","0.00705817835529399"
"res","X163910","0.391302304133986","0.000161510756097561","0.000412751865734627"
"res","X164704","0.44612018025747","0.000167364471544715","0.000375155572312654"
"res","X744","0.406891446059278","0.000927497943089431","0.00227947269983727"
"res","X32","0.564659585601902","0.00059945193495935","0.0010616165035441"
"res","X163826","0.447701917765988","0.000164087601626016","0.000366510830341772"
"res","X84","0.429440482158389","0.000285398536585366","0.00066458228425727"
"res","X164211","0.476981701331029","0.00018086312195122","0.000379182516743339"
"res","X40040","0.533943987446621","0.000527919764227642","0.00098871749966174"
"res","X70037","0.572386588425286","0.000426429634146341","0.000745002840334725"
"res","X270044","0.464028301588601","0.000589470528455285","0.00127033313795135"
"res","X531021","0.373210014977947","0.000469362300813008","0.00125763586714237"
"res","X429","1.36679935787424","0.000212984632520325","0.000155827284592508"
"res","X165808","0.460871838456553","0.000172418073170732","0.000374112841756951"
"res","X160623","0.436137840271211","0.000160505991869919","0.000368016661361254"
"res","X530021","0.376986708870387","0.000485922487804878","0.00128896450822075"
"res","X320","0.324208373930946","0.000414934146341463","0.00127983784413243"
"res","X394","0.445710282809168","0.000230742601626016","0.000517696383784821"
"res","X92","0.480880186597667","0.000184119195121951","0.0003828795617982"
"res","X319","0.317432594282818","0.000407123008130081","0.00128254947810228"
"res","X121013","0.528398322179637","0.000355248056910569","0.000672311099409201"
"res","X286","0.713557766543011","0.000510682691056911","0.000715685141416127"
"res","X166017","0.420150516855732","0.000151549707317073","0.000360703369952324"
"res","X5","0.156326754448046","0.000415456593495935","0.00265761670139457"
"res","X304","0.181586394667911","0.000233874317073171","0.00128795066117638"
"res","X128013","0.545108566977522","0.000355038658536585","0.000651317333912358"
"res","X235","0.228757563252562","0.000356615325203252","0.00155892255597043"
"res","X564","0.420339458932216","0.000651186918699187","0.00154919293171617"
"res","X563","0.42818153824476","0.000643586243902439","0.00150306864359609"
"res","X148","0.496403030967881","0.000405523317073171","0.000816923531434701"
"res","X258","0.461404621283381","0.000282743081300813","0.000612787710089191"
"res","X303","0.184159288657595","0.000249664666666667","0.00135569956034564"
"res","X519720","0.403845638296012","0.000493613544715447","0.00122228271870956"
"res","X519725","0.468980211239498","0.000389525382113821","0.000830579569837967"
"res","X163908","0.435986272948427","0.000157181154471545","0.000360518585616428"
"res","X100068","0.382223347267289","0.000305063390243902","0.00079812861361023"
"res","X161823","0.22619851130445","0.000880499105691057","0.00389259460910401"
"res","X428","0.766174306233414","0.000567538508943089","0.000740743332588589"
"res","X770","0.154625690841358","0.00120812711382114","0.00781323664423039"
"res","X257","0.467885786551741","0.00030488181300813","0.00065161588954234"
"res","X161824","0.0554991328312651","0.000173724593495935","0.00313022176443932"
"res","X302","0.481287542504009","0.000302724390243902","0.000628988626360261"
"res","X188","0.602723204034418","0.000470531528455285","0.000780675980791367"
"res","X147","0.537273128287082","0.000430871365853659","0.000801959642439869"
"res","X112","0.383945079277339","0.000426029276422764","0.0011096099401108"
"res","X650002","0.600266227586261","0.000468694991869919","0.000780811863686875"
"res","X222","0.278162027004445","0.000386892390243902","0.00139088859256019"
"res","X553","0.378110134709094","0.000663912577235772","0.00175587088599613"
