date,519670.OF,000311.OF,470009.OF,590008.OF,070008.OF,213009.OF
2014-05-04,1.0,1.0,1.0,1.0,1.0,1.0
2014-05-11,0.974708152932,0.991758222106,0.989999028532,1.00231588698,1.00096159741,1.000925341
2014-05-18,0.954288415108,0.995514714147,0.99516809314,0.993515516443,1.00188597865,1.00161333829
2014-05-25,1.00744946701,0.997425361591,1.01492778524,1.04724409449,1.00279003839,1.00218684484
2014-06-01,1.0286297905,1.00118192834,1.02452155453,1.07271885132,1.00343089882,1.00298311946
2014-06-08,1.03594349226,0.990171476951,1.0296908138,1.08800370542,1.00458010346,1.00417169338
2014-06-15,1.06497168093,1.00995408269,1.04997132223,1.11255210746,1.00543615715,1.00458129914
2014-06-22,1.03855391679,0.994336236054,1.0367109898,1.10050949514,1.00623943892,1.00510546354
2014-06-29,1.06819049893,1.00162456449,1.08585222174,1.2125984252,1.00701046148,1.00888241949
2014-07-06,1.09847890152,1.01516003157,1.10229763402,1.21954608615,1.00830566956,1.01016393754
2014-07-13,1.07710175899,1.0141188418,1.10151761446,1.20611394164,1.00909002952,1.01084433678
2014-07-20,1.05448124103,1.02661311911,1.08117210441,1.18787269347,1.00982290687,1.01142751621
2014-07-27,1.03963394951,1.07242546925,1.07259188931,1.17424214433,1.01056726429,1.01201103208
2014-08-03,1.06490358466,1.09324926477,1.09293739936,1.18761655473,1.01129846981,1.0125948846
2014-08-10,1.09084334085,1.09533164432,1.11555796645,1.21054157468,1.01202880172,1.01317907396
2014-08-17,1.10378309065,1.11511425007,1.13817853353,1.23214940141,1.01276472395,1.01376360035
2014-08-24,1.14315208761,1.11303187052,1.17015933528,1.27628609639,1.01364139132,1.01477822351
2014-08-31,1.14113916624,1.10366116253,1.15143886596,1.2565165351,1.01449751098,1.01540806569
2014-09-07,1.19403686726,1.15155589223,1.23262590128,1.32593987824,1.01513342856,1.01579084723
2014-09-14,1.21575769317,1.14218518424,1.2638916851,1.34203138161,1.01620865152,1.01651594742
2014-09-21,1.19604978863,1.13385566603,1.25999158732,1.37513390285,1.01706498047,1.01811539079
2014-09-28,1.21042299753,1.13692092208,1.26702937425,1.43766088739,1.01793409512,1.01931759313
2014-10-05,1.23522973885,1.13855610588,1.28409635833,1.46248777832,1.01842636683,1.01973242041
2014-10-12,1.25090716865,1.13876121752,1.28988067068,1.45697069145,1.01986789524,1.02058953284
2014-10-19,1.21180865106,1.13396078099,1.26056316373,1.47076340863,1.0207466224,1.02132959223
2014-10-26,1.20140232027,1.12200951071,1.26007944432,1.47076340863,1.02159941571,1.0218641117
2014-11-02,1.2481511118,1.18801007016,1.31003510265,1.52501476287,1.02233512739,1.02312820945
2014-11-09,1.24073410735,1.18696244223,1.32174346007,1.52639403459,1.02306973144,1.02371274803
2014-11-16,1.18228699726,1.21629602421,1.28896005929,1.43628161568,1.02382868401,1.02435006578
2014-11-23,1.22779020243,1.21315314043,1.32174346007,1.48869394096,1.02456623487,1.02516952567
2014-11-30,1.2957157742,1.32943984042,1.36630026471,1.57558805919,1.02529397319,1.02627625012
2014-12-07,1.29646330253,1.40652071653,1.35058815365,1.5520344395,1.02610492954,1.02680958734
2014-12-14,1.29721126213,1.41767082841,1.34547979681,1.52659882473,1.02705378642,1.0272692497
2014-12-21,1.29795965324,1.46576521897,1.34685155544,1.51057449172,1.02794504221,1.02778240441
2014-12-28,1.29870847612,1.48316781048,1.30752703792,1.48164377473,1.0287333749,1.02949639795
2015-01-04,1.29945773101,1.50511756798,1.26466808458,1.45325105092,1.02965356568,1.03010948674
2015-01-11,1.34281215256,1.51081851867,1.30037757571,1.49182567337,1.03048441951,1.03107597779
2015-01-18,1.4045159626,1.52705523144,1.35652464927,1.51895517522,1.03139793298,1.03190854107
2015-01-25,1.45698203489,1.51743230081,1.39173598558,1.56505997798,1.03224400867,1.0325444313
2015-02-01,1.46569482498,1.48817525683,1.38150329289,1.56297420084,1.03313317314,1.0332718343
2015-02-08,1.49073226062,1.46849620153,1.44716338564,1.59040545502,1.03399089303,1.03412120899
2015-02-15,1.57065370857,1.52084494303,1.53374439937,1.70434048916,1.03484915816,1.03558242159
