date,160119.OF,000545.OF,100056.OF
2015-10-14,1.0,1.0,1.0
2015-10-15,1.0,1.0,1.0
2015-10-16,1.0,1.0,1.0
2015-10-19,1.0,1.0,1.0
2015-10-20,1.0,1.0,1.0
2015-10-21,1.0,1.0,1.0
2015-10-22,1.0,1.0,1.0
2015-10-23,1.0,1.0,1.0
2015-10-26,1.0,1.0,1.0
2015-10-27,1.0,1.0,1.0
2015-10-28,1.0,1.0,1.0
2015-10-29,1.0,1.0,1.0
2015-10-30,1.0,1.0,1.0
2015-11-02,0.4,0.4,1.0
2015-11-03,0.16,0.16,0.4
2015-11-04,0.16,0.16,1.0
2015-11-05,0.857627689706,0.16,1.0
2015-11-06,0.867788784229,0.16,1.0
2015-11-09,0.865929489929,0.16,1.0
2015-11-10,0.889319226642,0.16,1.0
2015-11-11,0.895563337422,0.16,1.0
2015-11-12,0.90522912831,0.16,1.0
2015-11-13,0.894193636732,0.16,1.0
2015-11-16,0.934006680272,0.16,1.0
2015-11-17,0.928286476382,0.16,1.0
2015-11-18,0.928581460847,0.16,1.0
2015-11-19,0.919616883668,0.16,1.0
2015-11-20,0.952897123537,0.873106682428,1.0
2015-11-23,0.941001505512,0.862963748918,1.0
2015-11-24,0.983765955997,0.877292892171,1.0
2015-11-25,1.0,0.875634672005,1.0
2015-11-26,1.0,0.876727149823,1.0
2015-11-27,0.4,0.822732665897,1.0
2015-11-30,0.16,0.329093066359,1.0
2015-12-01,0.064,0.831111246595,1.0
2015-12-02,0.904465228571,0.846876513671,0.4
2015-12-03,1.0,0.971909373748,1.0
2015-12-04,0.4,0.388763749499,0.4
2015-12-07,1.0,1.0,1.0
2015-12-08,0.4,1.0,1.0
2015-12-09,0.16,0.4,1.0
2015-12-10,0.064,0.16,1.0
2015-12-11,1.0,1.0,1.0
2015-12-14,1.0,1.0,1.0
2015-12-15,1.0,1.0,1.0
2015-12-16,1.0,1.0,1.0
2015-12-17,1.0,1.0,1.0
2015-12-18,1.0,1.0,1.0
2015-12-21,1.0,1.0,1.0
2015-12-22,1.0,1.0,1.0
2015-12-23,1.0,1.0,1.0
2015-12-24,1.0,1.0,1.0
2015-12-25,1.0,1.0,1.0
2015-12-28,1.0,1.0,1.0
2015-12-29,1.0,1.0,1.0
2015-12-30,1.0,1.0,1.0
2015-12-31,1.0,0.4,1.0
2016-01-04,0.4,0.16,0.4
2016-01-05,0.16,0.064,0.16
2016-01-06,0.064,0.0256,0.064
2016-01-07,0.0256,0.01024,0.0256
2016-01-08,0.01024,0.004096,0.01024
2016-01-11,0.004096,0.0016384,0.004096
2016-01-12,0.0016384,0.00065536,0.0016384
2016-01-13,0.00065536,0.000262144,0.00065536
2016-01-14,0.000262144,0.0001048576,0.000262144
2016-01-15,0.0001048576,4.194304e-05,0.0001048576
2016-01-18,0.0001048576,0.997460951259,4.194304e-05
2016-01-19,0.0001048576,1.0,4.194304e-05
2016-01-20,0.0001048576,1.0,1.6777216e-05
2016-01-21,0.0001048576,1.0,1.6777216e-05
2016-01-22,0.0001048576,1.0,1.6777216e-05
2016-01-25,0.0001048576,1.0,1.6777216e-05
2016-01-26,0.0001048576,0.999652330302,1.6777216e-05
2016-01-27,0.0001048576,1.0,1.6777216e-05
2016-01-28,0.0001048576,0.4,6.7108864e-06
2016-01-29,0.0001048576,0.954266317767,6.7108864e-06
2016-02-01,0.0001048576,0.977241350557,6.7108864e-06
2016-02-02,0.0001048576,0.92619774279,6.7108864e-06
2016-02-03,0.0001048576,0.845839939403,6.7108864e-06
2016-02-04,0.0001048576,0.921819190286,6.7108864e-06
2016-02-05,0.0001048576,0.926665666377,6.7108864e-06
2016-02-15,0.0001048576,0.923826910885,6.7108864e-06
2016-02-16,0.0001048576,0.89143702006,6.7108864e-06
2016-02-17,0.0001048576,0.896014182211,6.7108864e-06
2016-02-18,0.0001048576,0.89606029339,6.7108864e-06
2016-02-19,0.0001048576,0.896250030463,6.7108864e-06
2016-02-22,0.0001048576,0.893767052524,6.7108864e-06
2016-02-23,0.0001048576,0.955476189669,6.7108864e-06
2016-02-24,0.0001048576,0.95768191685,6.7108864e-06
2016-02-25,0.0001048576,0.919241614963,6.7108864e-06
2016-02-26,0.831883472795,0.983070271246,6.7108864e-06
2016-02-29,0.80636892625,0.393228108498,6.7108864e-06
2016-03-01,0.853886607738,0.157291243399,2.68435456e-06
2016-03-02,0.815537115046,0.938558704608,2.68435456e-06
2016-03-03,0.833564766989,0.970338878132,2.68435456e-06
2016-03-04,0.833564766989,0.388135551253,2.68435456e-06
2016-03-07,0.833564766989,0.155254220501,2.68435456e-06
2016-03-08,0.833564766989,0.952653542459,2.68435456e-06
2016-03-09,0.833564766989,0.970735026075,2.68435456e-06
2016-03-10,0.833564766989,0.973823009479,2.68435456e-06
