,nav
2015-05-29,1.0
2015-06-01,1.0
2015-06-02,1.0
2015-06-03,1.0
2015-06-04,1.0
2015-06-05,0.4
2015-06-08,0.4
2015-06-09,0.16
2015-06-10,0.16
2015-06-11,0.16
2015-06-12,0.16
2015-06-15,0.16
2015-06-16,0.064
2015-06-17,0.064
2015-06-18,0.064
2015-06-19,0.0256
2015-06-23,0.01024
2015-06-24,0.01024
2015-06-25,0.01024
2015-06-26,0.004096
2015-06-29,0.0016384
2015-06-30,0.00065536
2015-07-01,0.00065536
2015-07-02,0.00065536
2015-07-03,0.00065536
2015-07-06,0.00065536
2015-07-07,0.4
2015-07-08,0.4
2015-07-09,0.4
2015-07-10,0.4
2015-07-13,0.4
2015-07-14,0.6
2015-07-15,0.6
2015-07-16,0.6
2015-07-17,0.6
2015-07-20,0.6
2015-07-21,1.0
2015-07-22,1.0
2015-07-23,1.0
2015-07-24,1.0
2015-07-27,1.0
2015-07-28,1.0
2015-07-29,1.0
2015-07-30,1.0
2015-07-31,1.0
2015-08-03,1.0
2015-08-04,1.0
2015-08-05,1.0
2015-08-06,1.0
2015-08-07,1.0
2015-08-10,1.0
2015-08-11,1.0
2015-08-12,1.0
2015-08-13,1.0
2015-08-14,1.0
2015-08-17,1.0
2015-08-18,1.0
2015-08-19,0.4
2015-08-20,0.4
2015-08-21,0.4
2015-08-24,0.16
2015-08-25,0.064
2015-08-26,0.0256
2015-08-27,0.0256
2015-08-28,0.0256
2015-08-31,0.0256
2015-09-01,0.0256
2015-09-02,0.01024
2015-09-07,0.01024
2015-09-08,0.01024
2015-09-09,0.01024
2015-09-10,0.01024
2015-09-11,0.4
2015-09-14,0.4
2015-09-15,0.16
2015-09-16,0.064
2015-09-17,0.064
2015-09-18,0.064
2015-09-21,0.064
2015-09-22,0.064
2015-09-23,0.4
2015-09-24,0.4
2015-09-25,0.4
2015-09-28,0.4
2015-09-29,0.4
2015-09-30,0.6
2015-10-08,0.6
2015-10-09,0.6
2015-10-12,0.6
2015-10-13,0.6
2015-10-14,1.0
2015-10-15,1.0
2015-10-16,1.0
2015-10-19,1.0
2015-10-20,1.0
2015-10-21,1.0
2015-10-22,0.4
2015-10-23,0.4
2015-10-26,0.4
2015-10-27,0.4
2015-10-28,0.4
2015-10-29,0.6
2015-10-30,0.6
2015-11-02,0.6
2015-11-03,0.24
2015-11-04,0.24
2015-11-05,0.24
2015-11-06,0.24
2015-11-09,0.24
2015-11-10,0.4
2015-11-11,0.4
2015-11-12,0.4
2015-11-13,0.4
2015-11-16,0.4
2015-11-17,0.6
2015-11-18,0.6
2015-11-19,0.6
2015-11-20,0.6
2015-11-23,0.6
2015-11-24,1.0
2015-11-25,1.0
2015-11-26,1.0
2015-11-27,1.0
2015-11-30,0.4
2015-12-01,0.4
2015-12-02,0.4
2015-12-03,0.4
2015-12-04,0.4
2015-12-07,0.6
2015-12-08,0.6
2015-12-09,0.6
2015-12-10,0.6
2015-12-11,0.6
2015-12-14,1.0
2015-12-15,1.0
2015-12-16,1.0
2015-12-17,1.0
2015-12-18,1.0
2015-12-21,1.0
2015-12-22,1.0
2015-12-23,1.0
2015-12-24,1.0
2015-12-25,1.0
2015-12-28,1.0
2015-12-29,0.4
2015-12-30,0.4
2015-12-31,0.4
2016-01-04,0.4
2016-01-05,0.16
2016-01-06,0.16
2016-01-07,0.16
2016-01-08,0.064
2016-01-11,0.064
2016-01-12,0.0256
2016-01-13,0.0256
2016-01-14,0.01024
2016-01-15,0.01024
2016-01-18,0.004096
2016-01-19,0.004096
2016-01-20,0.004096
2016-01-21,0.004096
2016-01-22,0.0016384
2016-01-25,0.0016384
2016-01-26,0.0016384
2016-01-27,0.00065536
2016-01-28,0.00065536
2016-01-29,0.000262144
2016-02-01,0.000262144
2016-02-02,0.000262144
2016-02-03,0.000262144
2016-02-04,0.000262144
2016-02-05,0.4
2016-02-15,0.4
2016-02-16,0.4
