date,160119.OF,000545.OF,100056.OF,519983.OF,000143.OF,650001.OF
2014-10-31,3.43857154132e-07,3.5160136611e-07,3.16866994751e-07,0.0376024672101,0.73293488266,0.229461637805
2015-02-13,0.215982152852,7.88374705109e-08,0.0562417373413,9.83425130275e-08,0.589914744326,0.137861188301
2015-05-29,0.000936730821842,0.0532927630423,8.08440896197e-08,0.0308254553755,4.16407092286e-07,0.914944553509
2015-09-11,7.30708890707e-11,4.32156957989e-11,2.36030576805e-10,5.98327976243e-11,1.39918346824e-08,0.999999985596
2015-12-25,5.64227772395e-08,0.0777120847862,0.0808183942451,0.0465710739506,3.02333648484e-06,0.794895367259
2016-04-08,8.65311366793e-09,8.80019454735e-09,2.0422783513e-09,3.32849410684e-08,1.632925416e-07,0.999999783927
