date,000300.SH,000832.SH,000905.SH,H11006.CSI,H11025.CSI,H11073.CSI,SP500.SPI,SPGSGCTR.SPI
2009/10/30,3280.372,320.401,3827.683,126.66,1103.2524,111.859,1036.1945,581.3019
2009/11/6,3483.021,335.33,4145.137,126.47,1103.5361,111.617,1069.3006,612.2075
2009/11/13,3518.722,333.999,4267.008,126.79,1103.8515,111.678,1093.4807,623.951
2009/11/20,3631.013,334.12,4508.293,127.05,1104.0969,112.614,1091.3769,640.7563
2009/11/27,3382.51,322.508,4215.338,127.07,1104.4171,112.183,1091.4912,655.9976
2009/12/4,3643.491,336.314,4506.082,127.35,1104.7879,112.503,1105.9755,652.6559
2009/12/11,3575.02,338.942,4534.763,127.3,1105.1356,112.544,1106.4114,624.9825
2009/12/18,3391.735,330.514,4203.48,127.22,1105.4171,112.594,1102.4656,620.3001
2009/12/24,,,,,,,1126.476,616.5666
2009/12/25,3424.783,330.058,4376.193,127.31,1105.7297,113.32,,
2009/12/31,3575.684,332.094,4485.255,127.41,1105.9698,112.646,1115.1027,611.7776
2010/1/8,3480.13,331.795,4514.452,127.42,1106.2375,112.113,1144.9831,635.6213
2010/1/15,3482.738,333.77,4747.648,127.31,1106.49,112.837,1136.0289,630.9019
2010/1/22,3366.197,324.718,4537.88,127.5,1106.7653,113.185,1091.7555,608.053
2010/1/29,3204.155,301.82,4374.649,127.96,1107.0906,113.545,1073.8694,604.1576
2010/2/5,3153.087,297.568,4311.293,128.54,1107.4032,113.919,1066.1868,586.8858
2010/2/12,3251.278,301.521,4416.219,128.94,1107.6773,113.959,1075.5133,607.6351
2010/2/19,,,,,,,1109.173,625.5425
2010/2/26,3281.666,304.944,4634.671,129.23,1108.235,114.641,1104.4934,623.7708
2010/3/5,3259.764,304.92,4604.586,129.98,1108.5365,115.327,1138.6981,632.8718
2010/3/12,3233.126,301.826,4492.861,130.02,1108.8914,114.537,1149.9919,614.2239
2010/3/19,3293.871,301.026,4663.903,130.37,1109.1953,115.156,1159.8974,617.4728
