date,000832.SH,H11001.CSI,H11073.CSI
2003/1/3,,99.86,
2003/1/10,,100.29,
2003/1/17,,100.3,
2003/1/24,,100.45,
2003/1/29,,100.59,
2003/2/14,,100.71,
2003/2/21,,100.82,
2003/2/28,,100.97,
2003/3/7,,101.09,
2003/3/14,,100.99,
2003/3/21,,101.33,
2003/3/28,,101.38,
2003/4/4,,101.43,
2003/4/11,,101.67,
2003/4/18,,101.65,
2003/4/25,,101.75,
2003/4/30,,101.84,
2003/5/16,,102.13,
2003/5/23,,102.12,
2003/5/30,,102.21,
2003/6/6,,102.33,
2003/6/13,,102.33,
2003/6/20,,102.25,
2003/6/27,,102.01,
2003/7/4,,102.25,
2003/7/11,,102.36,
2003/7/18,,102.48,
2003/7/25,,102.65,
2003/8/1,,102.54,
2003/8/8,,102.47,
2003/8/15,,102.57,
2003/8/22,,102.4,
2003/8/29,,102.41,
2003/9/5,,102.46,
2003/9/12,,102.7,
2003/9/19,,102.44,
2003/9/26,,101.67,
2003/9/30,,101.5,
2003/10/10,,101.44,
2003/10/17,,100.69,
2003/10/24,,100.44,
2003/10/31,,100.45,
2003/11/7,,100.52,
2003/11/14,,100.41,
2003/11/21,,100.49,
2003/11/28,,100.39,
2003/12/5,,100.33,
2003/12/12,,100.5,
2003/12/19,,100.84,
2003/12/26,,101.08,
2004/1/2,115.836,100.75,
2004/1/9,119.263,100.87,
2004/1/16,120.905,101.05,
2004/1/30,121.198,100.97,
2004/2/6,124.923,100.9,
2004/2/13,126.19,100.98,
2004/2/20,130.143,101.08,
2004/2/27,126.521,100.89,
2004/3/5,127.459,100.91,
2004/3/12,129.381,100.96,
2004/3/19,131.092,100.79,
2004/3/26,131.052,100.61,
2004/4/2,133.908,100.7,
2004/4/9,133.945,100.53,
2004/4/16,130.688,99.61,
2004/4/23,127.841,97.88,
2004/4/30,124.955,97.52,
2004/5/14,123.884,97.59,
2004/5/21,125.121,97.73,
2004/5/28,125.473,97.77,
2004/6/4,125.252,98.15,
2004/6/11,122.505,98.06,
2004/6/18,121.209,98.18,
2004/6/25,120.731,97.91,
2004/7/2,121.813,98.03,
2004/7/9,122.163,98.45,
2004/7/16,122.676,98.27,
2004/7/23,120.163,98.21,
2004/7/30,120.433,98.74,
2004/8/6,120.626,98.72,
2004/8/13,120.77,98.73,
