date,SP500.SPI,SPGSGCTR.SPI,HSCI.HI
2001/12/21,1144.89,,1319.64
2001/12/28,1161.02,,1348.47
2002/1/4,1172.51,,1382.45
2002/1/11,1145.6,,1329.07
2002/1/18,1127.58,,1307.5
2002/1/25,1133.28,,1287.87
2002/2/1,1122.2,,1278.44
2002/2/8,1096.22,,1261.71
2002/2/15,1104.18,,1311.41
2002/2/22,1089.84,,1284.18
2002/3/1,1131.78,,1255.72
2002/3/8,1164.31,,1344.92
2002/3/15,1166.16,,1343.09
2002/3/22,1148.7,,1307.51
2002/3/29,1147.39,,1326.22
2002/4/5,1122.73,,1306.05
2002/4/12,1111.01,,1295.09
2002/4/19,1125.17,,1355.54
2002/4/26,1076.32,,1370.45
2002/4/30,1076.32,,1370.45
2002/5/3,1073.43,,1421.03
2002/5/10,1054.99,,1405.54
2002/5/17,1106.59,,1444.03
2002/5/24,1083.82,,1407.27
2002/5/31,1067.14,,1370.93
2002/6/7,1027.53,,1370.35
2002/6/14,1007.27,,1335.19
2002/6/21,989.14,,1286.79
2002/6/28,989.82,,1291.34
2002/7/5,989.03,,1316.93
2002/7/12,921.39,,1297.07
2002/7/19,847.76,,1251.52
2002/7/26,852.84,,1179.07
2002/8/2,864.24,,1204.4
2002/8/9,908.64,,1202.97
2002/8/16,928.77,,1227.79
2002/8/23,940.86,,1231.31
2002/8/30,916.07,,1205.89
2002/9/6,893.92,,1168.93
2002/9/13,889.81,,1162.29
2002/9/20,845.39,,1124.17
2002/9/27,827.37,,1119.95
2002/10/4,800.58,,1090.07
2002/10/11,835.32,,1076.68
2002/10/18,884.39,,1153.57
2002/10/25,897.65,,1165.78
2002/11/1,900.96,,1128.93
2002/11/8,894.74,,1170.08
2002/11/15,909.83,,1181.41
2002/11/22,930.55,,1202.28
2002/11/29,936.31,,1205.19
2002/12/6,912.23,,1199.42
2002/12/13,889.48,,1174.62
2002/12/20,895.75,,1165.3
2002/12/27,875.4,,1146
2003/1/3,908.59,,1161.29
2003/1/10,927.57,,1182.99
2003/1/17,901.78,,1170.55
2003/1/24,861.4,,1154.5
2003/1/29,861.4,,1154.5
2003/1/31,855.7,,1134.58
2003/2/7,829.69,,1126.29
2003/2/14,834.89,,1129.74
2003/2/21,848.17,,1136.04
2003/2/28,841.15,,1121.9
2003/3/7,828.89,,1092.55
2003/3/14,833.27,,1101.35
2003/3/21,895.79,,1127.63
2003/3/28,863.5,,1094.74
2003/4/4,878.85,,1087.71
2003/4/11,868.3,,1066.67
2003/4/18,893.58,,1057
2003/4/25,898.81,,1031.29
2003/4/30,898.81,,1031.29
2003/5/2,930.08,,1081.46
2003/5/9,933.41,,1111.51
2003/5/16,944.3,,1118.45
2003/5/23,933.22,,1149.48
2003/5/30,963.59,,1171.92
2003/6/6,987.76,,1198.02
2003/6/13,988.61,,1224.12
2003/6/20,995.69,,1232.32
2003/6/27,976.22,,1203.37
2003/7/4,985.7,,1202.5
2003/7/11,998.14,,1239.28
2003/7/18,993.32,,1265.87
2003/7/25,998.68,,1241.34
2003/8/1,980.15,,1285.38
2003/8/8,977.59,,1250.51
2003/8/15,990.67,,1311.3
2003/8/22,993.06,,1357.66
2003/8/29,1008.01,,1374.78
2003/9/5,1021.39,,1412.09
2003/9/12,1018.63,,1376.34
2003/9/19,1036.3,,1381.34
2003/9/26,996.85,,1423.92
2003/9/30,996.85,,1423.92
2003/10/3,1029.85,,1465.4
2003/10/10,1038.06,,1508.2
2003/10/17,1039.32,,1526.94
2003/10/24,1028.91,,1487.43
2003/10/31,1050.71,,1547.5
2003/11/7,1053.21,,1549.6
2003/11/14,1050.35,,1545.99
2003/11/21,1035.28,,1495.62
2003/11/28,1058.2,,1558.89
2003/12/5,1061.5,,1568.39
2003/12/12,1074.14,,1612.63
2003/12/19,1088.67,,1585.76
2003/12/26,1095.89,,1599.81
2004/1/2,1108.48,,1656.5
2004/1/9,1121.86,,1723.83
2004/1/16,1139.83,,1689.27
2004/1/23,1141.55,,1770.8
2004/1/30,1131.13,,1709.62
2004/2/6,1142.76,,1716.89
2004/2/13,1145.81,,1769.89
2004/2/20,1144.11,,1786.18
2004/2/27,1144.94,,1791.41
2004/3/5,1156.86,,1743.56
2004/3/12,1120.57,,1677.52
2004/3/19,1109.78,,1665.93
2004/3/26,1108.06,,1625.01
2004/4/2,1141.81,,1661.33
2004/4/9,1139.32,,1689.82
2004/4/16,1134.61,,1624.4
2004/4/23,1140.6,,1605.94
2004/4/30,1107.3,,1534.23
2004/5/7,1098.7,,1535.59
2004/5/14,1095.7,,1438.96
2004/5/21,1093.56,,1483.91
2004/5/28,1120.68,,1557.08
2004/6/4,1122.5,,1537.38
2004/6/11,1136.47,,1587.09
2004/6/18,1135.02,,1504.28
2004/6/25,1134.43,,1552.12
2004/7/2,1125.38,,1564.09
2004/7/9,1112.81,,1566.95
2004/7/16,1101.39,,1547.82
2004/7/23,1086.2,,1582.08
2004/7/30,1101.72,,1570.01
2004/8/6,1063.97,,1593.69
2004/8/13,1064.8,,1567.57
2004/8/20,1098.35,,1576.14
2004/8/27,1107.77,,1629.88
2004/9/3,1113.63,,1649.18
2004/9/10,1123.92,,1657.29
