,code,jensen,ppw,sortino,stability
0,000001.OF,0.000852495949751,0.00442264526644,0.123265124921,154
1,000031.OF,0.00109354897915,0.00575794181464,0.0,155
2,002001.OF,0.000958328479807,0.00559130175465,0.152478181196,151
3,002021.OF,0.000997412818973,0.00561531083526,0.151994172998,154
4,020001.OF,0.00151179727045,0.0068963361099,0.117697014777,0
5,020010.OF,0.00194047664418,0.00948346294477,0.147550017916,0
6,020015.OF,0.00134903926892,0.00698883283146,0.121292602254,0
7,020021.OF,0.00105447505571,0.00832209362967,0.161362666473,0
8,020023.OF,0.00224758582211,0.0114699975961,0.152686040736,157
9,040004.OF,0.000913809678213,0.00536794296121,0.140228150554,160
10,040011.OF,0.000767966493495,0.00549998082381,0.126082381483,156
11,040015.OF,0.00156264441853,0.00654841991616,0.131247536867,0
12,040020.OF,0.000753881195597,0.0,0.0,0
13,040025.OF,0.0030689379654,0.0137876240996,0.177797663594,0
14,050014.OF,0.000861188417114,0.0,0.0,152
15,050022.OF,0.00138885372551,0.00817704211999,0.183257981959,0
16,070001.OF,0.00198816875414,0.00932531618446,0.169716642072,156
17,070002.OF,0.000855236156461,0.00461443357688,0.0,153
18,070006.OF,0.000748316732332,0.0051120800542,0.115629179536,155
19,070011.OF,0.000752714357819,0.00471757852929,0.0,0
20,070013.OF,0.00265684391521,0.0129961493643,0.19927367479,153
21,070021.OF,0.000874046340261,0.00547342650434,0.0,152
22,070022.OF,0.00158390465088,0.00862878457516,0.146831985255,0
23,070027.OF,0.00195284861574,0.00846859945383,0.152923753138,157
24,080001.OF,0.0014652514984,0.00591817367786,0.134224241192,0
25,080002.OF,0.00179666579197,0.00855217849138,0.162008991265,0
26,080005.OF,0.00149552478936,0.00546125116774,0.126840767788,0
27,090007.OF,0.00112966967166,0.00673990697386,0.138525979517,152
28,090011.OF,0.000652246680076,0.00499903521036,0.119547332413,161
29,090015.OF,0.00223589415345,0.011048737308,0.161668168477,161
30,100016.OF,0.00101295055868,0.00596305249936,0.135509986898,157
31,100026.OF,0.00201369225055,0.00907374833729,0.15108050998,0
32,100029.OF,0.00136477576918,0.00667323192295,0.15193933294,158
33,100039.OF,0.00086123501282,0.00513037847629,0.0,153
34,100056.OF,0.000677318059357,0.00445046776415,0.0,152
35,110001.OF,0.00114601644577,0.0055820157486,0.119149228738,0
36,110012.OF,0.000744582254718,0.00500104373705,0.0,157
37,110013.OF,0.00148467703326,0.00621685365803,0.123587314953,157
38,110015.OF,0.000653588497178,0.00455922861507,0.0,157
39,110023.OF,0.00177903625814,0.010269841987,0.110433081623,0
40,110026.OF,0.00339211624202,0.013854227799,0.133062486057,0
41,110029.OF,0.00250265747469,0.00986111610394,0.139418450869,153
42,121002.OF,0.000614351779775,0.00475193888464,0.127950349807,153
43,151001.OF,0.00156836909942,0.00750368485001,0.141291349768,160
44,159907.OF,0.000621064947352,0.0,0.0,0
45,159909.OF,0.00202065442453,0.00761312423494,0.121035266241,0
46,159915.OF,0.00367156225065,0.0144367372798,0.129338192278,0
47,160105.OF,0.000731901212444,0.0040914404514,0.108759960839,0
48,160106.OF,0.00176991183244,0.00715856717946,0.157043731784,159
49,160119.OF,0.00118459666398,0.00395356882061,0.0,158
50,160211.OF,0.0020919905371,0.00860654642824,0.120768563776,153
51,160215.OF,0.000741728423638,0.0,0.0,0
52,160311.OF,0.00124091752378,0.00473543647811,0.145585260774,162
53,160314.OF,0.00153698085655,0.0063980363131,0.140273532933,164
54,160505.OF,0.00192071998765,0.00798306145249,0.17762088718,0
55,160512.OF,0.00176123697121,0.00766292248397,0.16004342803,158
56,160607.OF,0.00104926951914,0.0,0.137659448144,0
57,160613.OF,0.00118288762999,0.00427824674112,0.129490659249,153
58,160616.OF,0.00123134521013,0.00409138032447,0.112580596642,153
59,160716.OF,0.0010131501357,0.00453454391395,0.151249169602,150
60,160805.OF,0.00132959442572,0.00530022765625,0.133032402838,0
61,161005.OF,0.00129996136127,0.00597262014459,0.122859541047,0
62,161017.OF,0.00178737142394,0.00628826894729,0.129183349981,158
63,161219.OF,0.00173480712532,0.00760876394505,0.111958424279,159
64,161609.OF,0.00205435238851,0.0100476001486,0.147552025815,155
65,161611.OF,0.000923696516,0.00612434759718,0.123796708164,153
66,161810.OF,0.00095443693827,0.0040829802022,0.11745354982,154
67,161818.OF,0.00113928977721,0.00654189461509,0.0,0
68,162102.OF,0.00107004592241,0.00432120098174,0.0,0
69,162201.OF,0.0025098800792,0.0126607836677,0.130935328983,0
70,162203.OF,0.00115894953784,0.0083080459255,0.138156987727,157
71,162207.OF,0.00317412512443,0.0125666025941,0.180842111156,152
72,162208.OF,0.00141609184628,0.00785268931436,0.119356184781,157
73,162209.OF,0.000615534008027,0.0,0.0,0
74,162212.OF,0.00101675396374,0.00651549111513,0.0,157
75,162214.OF,0.000692039945025,0.0051264684601,0.0,0
76,162216.OF,0.000744300396618,0.0,0.0,0
77,162605.OF,0.000881165410859,0.0,0.0,161
78,162711.OF,0.00116922537954,0.00396612430488,0.108612521829,158
79,163110.OF,0.0020249464301,0.00744619909993,0.133741641012,0
80,163402.OF,0.00112389707459,0.00487914832705,0.145058625727,162
