code,scale
000082.OF,332450125.01 
000309.OF,499909183.02 
000409.OF,575370184.21 
000411.OF,259918569.16 
000418.OF,77265493.80 
000457.OF,614050488.96 
000471.OF,4937756110.87 
000513.OF,1178364531.13 
000524.OF,743132843.79 
000549.OF,499145336.87 
000577.OF,95409917.96 
000586.OF,475030892.09 
000592.OF,284814420.22 
000594.OF,81999000.56 
000628.OF,176432728.49 
000688.OF,72101445.62 
000696.OF,4192257423.87 
000697.OF,10835414074.28 
000711.OF,1998560577.61 
000729.OF,416361948.68 
000746.OF,1246345557.69 
000751.OF,866842133.50 
000756.OF,138209660.79 
000761.OF,28768946.24 
000778.OF,250012926.83 
000780.OF,3003379021.42 
000793.OF,2928022884.28 
000803.OF,248557059.73 
000828.OF,144072021.41 
000831.OF,5683196518.34 
000854.OF,372862440.90 
000866.OF,1037100097.62 
000867.OF,306271619.36 
000884.OF,384904504.30 
000893.OF,4042573299.30 
000913.OF,1932829637.07 
000916.OF,485058959.77 
000925.OF,5606267553.71 
000955.OF,2541351365.59 
000960.OF,1449597174.75 
000971.OF,819264237.47 
000974.OF,323492681.64 
000978.OF,860802109.35 
000979.OF,5929529094.31 
000985.OF,2312493032.36 
000991.OF,1081754597.97 
000996.OF,3993457673.63 
001008.OF,3342791221.78 
001009.OF,1386226177.87 
001028.OF,2144158508.77 
001036.OF,3244383865.51 
001039.OF,2926151356.02 
001040.OF,1490968118.60 
001042.OF,4286934400.74 
001043.OF,882667302.76 
001044.OF,1854838504.45 
001047.OF,1867675157.48 
001048.OF,4274923920.27 
001050.OF,1637875359.41 
001054.OF,2010572864.18 
001070.OF,922027129.87 
001072.OF,1927334952.56 
001097.OF,651200172.91 
001104.OF,3893313537.77 
001105.OF,971805931.09 
001126.OF,2303230358.48 
001158.OF,3922389395.49 
001162.OF,43247380.07 
001163.OF,1859206020.48 
001166.OF,4645747679.24 
001167.OF,1222238046.38 
001171.OF,985075801.23 
001178.OF,660632502.15 
001186.OF,2696908478.30 
001188.OF,2477362272.33 
001193.OF,456069935.59 
001195.OF,1255793020.44 
001208.OF,2275170427.29 
001223.OF,245577986.82 
001230.OF,2323266482.75 
001236.OF,2027535176.61 
001245.OF,2565238738.52 
001277.OF,2381655961.06 
001291.OF,1794884099.80 
001313.OF,2659134824.86 
001319.OF,3392617653.07 
001396.OF,2290884646.44 
