code,establish_date
001374.OF,2015-05-25
001251.OF,2015-05-05
001497.OF,2015-06-16
519568.OF,2014-05-30
001240.OF,2015-04-20
001041.OF,2015-03-09
001026.OF,2015-02-04
001134.OF,2015-03-23
001095.OF,2015-04-23
001516.OF,2015-06-16
519998.OF,2010-11-25
001867.OF,2015-09-24
519717.OF,2013-01-09
001893.OF,2015-11-09
001812.OF,2015-09-15
001669.OF,2015-08-04
001621.OF,2015-09-28
519517.OF,2007-05-22
001693.OF,2015-07-17
000920.OF,2014-12-03
000715.OF,2014-08-11
000700.OF,2014-08-06
000719.OF,2014-07-02
000716.OF,2014-07-03
000678.OF,2014-07-14
000642.OF,2014-06-05
000641.OF,2014-05-13
000665.OF,2014-06-03
000650.OF,2014-06-05
000758.OF,2014-08-29
000863.OF,2014-11-03
000862.OF,2014-11-03
000891.OF,2014-11-21
000869.OF,2014-11-13
000861.OF,2015-04-01
000779.OF,2014-09-04
000764.OF,2014-08-22
000832.OF,2014-10-15
000818.OF,2014-09-24
320019.OF,2012-02-21
310339.OF,2013-01-21
511800.OF,2014-11-21
400006.OF,2014-10-22
288201.OF,2012-12-10
217014.OF,2009-12-01
202308.OF,2015-07-29
270014.OF,2009-04-20
260202.OF,2010-04-30
519589.OF,2007-06-22
519512.OF,2014-05-15
519507.OF,2013-08-15
519516.OF,2014-09-15
519513.OF,2014-05-15
519506.OF,2006-08-01
511960.OF,2015-12-28
511920.OF,2016-03-09
519501.OF,2013-08-15
511980.OF,2015-10-16
202307.OF,2014-12-15
002747.OF,2016-05-04
002722.OF,2016-04-26
002753.OF,2016-05-09
002748.OF,2016-05-04
002546.OF,2016-04-29
002234.OF,2016-05-17
002183.OF,2015-12-15
002469.OF,2016-02-26
002235.OF,2016-05-17
041003.OF,2009-12-23
163820.OF,2012-03-29
161615.OF,2012-05-02
202302.OF,2009-07-22
200103.OF,2012-04-06
160609.OF,2006-09-15
100028.OF,2006-11-29
070088.OF,2012-12-17
150015.OF,2006-11-01
110016.OF,2006-07-18
000625.OF,2014-04-28
000353.OF,2013-10-28
000607.OF,2014-04-29
260102.OF,2003-10-24
040003.OF,2003-12-30
217004.OF,2004-01-14
050003.OF,2004-01-16
290001.OF,2004-02-10
202301.OF,2004-03-05
519999.OF,2004-03-19
003003.OF,2004-04-07
320002.OF,2004-12-06
150005.OF,2004-12-20
519505.OF,2005-01-04
110006.OF,2005-02-02
180009.OF,2005-01-31
180008.OF,2005-01-31
240006.OF,2005-03-31
240007.OF,2005-03-31
070008.OF,2005-03-18
160606.OF,2005-04-12
37001B.OF,2005-04-13
288101.OF,2005-04-20
370010.OF,2005-04-13
200003.OF,2005-05-30
270004.OF,2005-05-20
163802.OF,2005-06-07
090005.OF,2005-06-03
091005.OF,2005-06-03
360003.OF,2005-06-09
020007.OF,2005-06-21
162206.OF,2005-11-10
080011.OF,2005-12-12
519588.OF,2006-01-20
161608.OF,2006-01-19
482002.OF,2006-03-20
519518.OF,2006-03-23
530002.OF,2006-04-25
340005.OF,2006-04-27
519508.OF,2006-05-24
100025.OF,2006-06-05
410002.OF,2006-06-21
350004.OF,2006-07-05
310338.OF,2006-07-07
560001.OF,2006-07-17
400005.OF,2006-08-02
128011.OF,2009-01-19
121011.OF,2009-01-19
460006.OF,2009-05-06
460106.OF,2009-05-06
213009.OF,2009-08-05
213909.OF,2009-08-05
583101.OF,2010-05-11
583001.OF,2010-05-11
392002.OF,2010-07-28
