,刘天君历史收益,刘青山历史收益,王鹏辉历史收益,朱平历史收益,余定恒历史收益,千象历史收益
2009-01-02,1,1,1,1,1,1
2009-01-09,1.016791045,1.017338093,1.038112839,1.053169118,1.020837528,1.021090293
2009-01-16,1.013011152,1.008204762,1.043644395,1.057333302,1.00915514,1.014689371
2009-01-23,1.011152416,1.007580487,1.054792119,1.069278323,1.00915514,1.007672156
2009-01-30,1.00929368,1.007699397,1.064467503,1.088888927,1.0112449,1.015718563
2009-02-06,1.00929368,1.007699397,1.064467503,1.088888927,1.012140511,1.003836078
2009-02-13,1.06133829,1.04607747,1.160940896,1.160430745,1.012936611,1.001122754
2009-02-20,1.135687732,1.118463688,1.242375377,1.237882,1.011941487,1.021519461
2009-02-27,1.124535316,1.113201938,1.237046905,1.220014945,1.007463429,1.042383982
2009-03-06,1.035315985,1.048396207,1.128444226,1.132445513,1.013135635,1.039483533
2009-03-13,1.078066914,1.102559529,1.208441422,1.203855171,1.011443925,1.128181138
2009-03-20,1.046468401,1.09203603,1.163850522,1.168180384,1.013036123,1.12303518
2009-03-27,1.098513011,1.126935997,1.246722288,1.233386812,1.003681958,1.144367515
2009-04-03,1.115241636,1.130651922,1.277746617,1.26553667,1.006866355,1.152320359
2009-04-10,1.141263941,1.157495764,1.292785529,1.288880714,1.007562942,1.118263473
2009-04-17,1.167286245,1.1830316,1.335939143,1.304808745,1.010349288,1.212481287
2009-04-24,1.204460967,1.212164452,1.357743813,1.328085625,1.014329784,1.211545659
2009-05-01,1.187732342,1.190225631,1.321881792,1.301600174,1.02666932,1.208270958
2009-05-08,1.19330855,1.204583965,1.34221412,1.310375805,1.024081998,1.246818862
2009-05-15,1.23605948,1.219358483,1.427539788,1.371076129,1.021096627,1.254210329
2009-05-22,1.237918216,1.212937364,1.40959125,1.371348167,1.029455667,1.239053144
2009-05-29,1.221189591,1.196379203,1.39700624,1.349713615,1.032540551,1.250374251
2009-06-05,1.230483271,1.20829989,1.421229755,1.357096687,1.038511295,1.29818488
2009-06-12,1.24535316,1.223193317,1.473112248,1.420409972,1.038411782,1.282279192
2009-06-19,1.226765799,1.223341954,1.450326018,1.406823858,1.03831227,1.261227545
2009-06-26,1.278810409,1.245280775,1.526922807,1.467833641,1.037516171,1.235778443
2009-07-03,1.314126394,1.25208835,1.573932553,1.479359842,1.039605931,1.228386976
2009-07-10,1.360594796,1.274413627,1.707705251,1.561958898,1.040302518,1.237743263
2009-07-17,1.407063197,1.311008056,1.72663535,1.587259863,1.041695691,1.228386976
2009-07-24,1.455390335,1.349505039,1.804669424,1.627291806,1.028062494,1.227451347
2009-07-31,1.50929368,1.375546241,1.925857113,1.670658658,1.042392278,1.203312126
2009-08-07,1.5,1.379529713,1.904998948,1.664798015,1.0449796,1.205276946
2009-08-14,1.42936803,1.354499242,1.785774381,1.629940615,1.046372773,1.203125
2009-08-21,1.356877323,1.282767026,1.686882143,1.565128334,1.03582446,1.207896707
2009-08-28,1.328996283,1.286869408,1.633071584,1.52174828,1.04080008,1.223895958
2009-09-04,1.278810409,1.268497874,1.542908224,1.481412748,1.050651806,1.190026198
2009-09-11,1.291821561,1.264900859,1.548727477,1.478368473,1.051547418,1.186096557
2009-09-18,1.345724907,1.305211213,1.598646848,1.547953419,1.053338641,1.179079341
2009-09-25,1.336431227,1.34308392,1.597209563,1.537950643,1.064683053,1.197663165
2009-10-02,1.31598513,1.318439906,1.579751805,1.492428525,1.08329187,1.209818622
2009-10-09,1.302973978,1.299325188,1.564712894,1.486163919,1.059309384,1.235298331
2009-10-16,1.351301115,1.336781712,1.610776134,1.550945612,1.062792318,1.233077622
2009-10-23,1.373605948,1.374000416,1.624833485,1.579808503,1.072445019,1.23927223
2009-10-30,1.412639405,1.407770742,1.655857814,1.641689571,1.073042094,1.284738315
