,159934.OF,513500.OF,513600.OF,
2014-04-04,2.557,1.049,,
2014-04-08,2.597,1.029,,
2014-04-09,2.59,1.03,,
2014-04-10,2.604,1.038,,
2014-04-11,2.611,1.014,,
2014-04-14,2.628,1.008,,
2014-04-15,2.594,1.018,,
2014-04-16,2.576,1.026,,
2014-04-17,2.556,1.033,,
2014-04-18,2.565,1.034,,
2014-04-21,2.558,1.034,,
2014-04-22,2.56,1.038,,
2014-04-23,2.553,1.042,,
2014-04-24,2.559,1.044,,
2014-04-25,2.584,1.043,,
2014-04-28,2.603,1.032,,
2014-04-29,2.589,1.038,,
2014-04-30,2.582,1.04,,
2014-05-05,2.609,1.041,,
2014-05-06,2.608,1.048,,
2014-05-07,2.6,1.038,,
2014-05-08,2.57,1.042,,
2014-05-09,2.567,1.041,,
2014-05-12,2.568,1.043,,
2014-05-13,2.576,1.051,,
2014-05-14,2.581,1.055,,
2014-05-15,2.59,1.052,,
2014-05-16,2.577,1.043,,
2014-05-19,2.577,1.045,,
2014-05-20,2.576,1.047,,
2014-05-21,2.585,1.041,,
2014-05-22,2.581,1.052,,
2014-05-23,2.576,1.05,,
2014-05-26,2.58,1.056,,
2014-05-27,2.567,1.056,,
2014-05-28,2.544,1.061,,
2014-05-29,2.513,1.062,,
2014-05-30,2.513,1.067,,
2014-06-03,2.49,1.071,,
2014-06-04,2.49,1.073,,
2014-06-05,2.486,1.075,,
2014-06-06,2.512,1.084,,
2014-06-09,2.506,1.086,,
2014-06-10,2.507,1.084,,
2014-06-11,2.506,1.082,,
2014-06-12,2.502,1.079,,
2014-06-13,2.519,1.071,,
2014-06-16,2.532,1.073,,
2014-06-17,2.509,1.075,,
2014-06-18,2.516,1.076,,
2014-06-19,2.535,1.09,,
2014-06-20,2.602,1.091,,
2014-06-23,2.615,1.092,,
2014-06-24,2.606,1.092,,
2014-06-25,2.61,1.084,,
2014-06-26,2.608,1.09,,
2014-06-27,2.599,1.091,,
2014-06-30,2.597,1.093,,
2014-07-01,2.611,1.093,,
2014-07-02,2.615,1.099,,
2014-07-03,2.606,1.097,,
2014-07-04,2.605,1.105,,
2014-07-07,2.59,1.105,,
2014-07-08,2.598,1.101,,
2014-07-09,2.617,1.095,,
2014-07-10,2.63,1.099,,
2014-07-11,2.625,1.093,,
2014-07-14,2.606,1.093,,
2014-07-15,2.592,1.098,,
2014-07-16,2.569,1.095,,
2014-07-17,2.592,1.098,,
2014-07-18,2.601,1.088,,
2014-07-21,2.599,1.1,,
2014-07-22,2.603,1.098,,
2014-07-23,2.581,1.1,,
2014-07-24,2.555,1.1,,
2014-07-25,2.578,1.1,,
2014-07-28,2.571,1.099,,
2014-07-29,2.581,1.099,,
2014-07-30,2.568,1.095,,
2014-07-31,2.585,1.094,,
2014-08-01,2.559,1.076,,
2014-08-04,2.571,1.073,,
2014-08-05,2.569,1.074,,
2014-08-06,2.569,1.067,,
2014-08-07,2.575,1.068,,
2014-08-08,2.614,1.062,,
2014-08-11,2.588,1.074,,
2014-08-12,2.576,1.073,,
2014-08-13,2.58,1.072,,
2014-08-14,2.579,1.08,,
2014-08-15,2.581,1.086,,
2014-08-18,2.571,1.086,,
2014-08-19,2.562,1.095,,
2014-08-20,2.56,1.1,,
2014-08-21,2.555,1.101,,
2014-08-22,2.544,1.106,,
2014-08-25,2.543,1.104,,
2014-08-26,2.537,1.109,,
2014-08-27,2.546,1.109,,
2014-08-28,2.546,1.108,,
2014-08-29,2.545,1.107,,
2014-09-01,2.544,1.111,,
2014-09-02,2.539,1.116,,
2014-09-03,2.524,1.112,,
2014-09-04,2.538,1.109,,
2014-09-05,2.521,1.108,,
2014-09-09,2.5,1.107,,
2014-09-10,2.508,1.102,,
2014-09-11,2.5,1.102,,
2014-09-12,2.479,1.107,,
2014-09-15,2.478,1.102,,
2014-09-16,2.478,1.096,,
2014-09-17,2.459,1.106,,
2014-09-18,2.436,1.107,,
2014-09-19,2.437,1.118,,
2014-09-22,2.399,1.113,,
2014-09-23,2.406,1.105,,
2014-09-24,2.415,1.099,,
2014-09-25,2.404,1.105,,
2014-09-26,2.42,1.088,,
2014-09-29,2.428,1.098,,
2014-09-30,2.425,1.098,,
2014-10-08,2.423,1.076,,
2014-10-09,2.431,1.096,,
2014-10-10,2.423,1.074,,
2014-10-13,2.432,1.06,,
2014-10-14,2.432,1.051,,
2014-10-15,2.42,1.049,,
2014-10-16,2.43,1.039,,
2014-10-17,2.43,1.04,,
2014-10-20,2.433,1.05,,
2014-10-21,2.442,1.057,,
2014-10-22,2.443,1.078,,
2014-10-23,2.425,1.072,,
2014-10-24,2.405,1.078,,
2014-10-27,2.405,1.088,,
2014-10-28,2.41,1.088,,
2014-10-29,2.406,1.093,,
2014-10-30,2.387,1.092,,
2014-10-31,2.342,1.107,,
2014-11-03,2.316,1.116,,
2014-11-04,2.306,1.113,,
2014-11-05,2.261,1.113,,
2014-11-06,2.242,1.117,,
2014-11-07,2.24,1.125,,
2014-11-10,2.289,1.122,,
2014-11-11,2.27,1.129,,
2014-11-12,2.292,1.126,,
2014-11-13,2.29,1.123,,
2014-11-14,2.28,1.123,,
2014-11-17,2.325,1.119,,
2014-11-18,2.323,1.123,,
2014-11-19,2.336,1.132,,
2014-11-20,2.331,1.127,,
2014-11-21,2.335,1.13,,
2014-11-24,2.342,1.127,,
2014-11-25,2.343,1.136,,
2014-11-26,2.346,1.137,,
2014-11-27,2.346,1.139,,
2014-11-28,2.341,1.139,,
2014-12-01,2.307,1.132,,
2014-12-02,2.396,1.127,,
2014-12-03,2.454,1.134,,
2014-12-04,2.402,1.139,,
2014-12-05,2.384,1.136,,
2014-12-08,2.368,1.141,,
2014-12-09,2.398,1.13,,
2014-12-10,2.455,1.133,,
2014-12-11,2.435,1.115,,
2014-12-12,2.428,1.107,,
2014-12-15,2.429,1.1,,
2014-12-16,2.386,1.094,,
2014-12-17,2.391,1.083,,
2014-12-18,2.403,1.109,,
2014-12-19,2.398,1.137,,
2014-12-22,2.399,1.14,,
2014-12-23,2.355,1.146,,
2014-12-24,2.354,1.15,,
2014-12-25,2.358,1.146,,
2014-12-26,2.371,1.146,,
2014-12-29,2.382,1.152,,
2014-12-30,2.372,1.149,,
2014-12-31,2.391,1.148,,
2015-01-05,2.395,1.134,,
2015-01-06,2.414,1.114,,
2015-01-07,2.443,1.108,,
2015-01-08,2.418,1.128,,
2015-01-09,2.417,1.143,,
2015-01-12,2.45,1.134,,
2015-01-13,2.464,1.122,,
2015-01-14,2.449,1.117,,
2015-01-15,2.441,1.116,,
2015-01-16,2.501,1.112,,
2015-01-19,2.561,1.116,,
2015-01-20,2.56,1.119,,
2015-01-21,2.629,1.123,,
2015-01-22,2.57,1.133,,
2015-01-23,2.584,1.152,,
2015-01-26,2.587,1.137,1.922,
2015-01-27,2.564,1.141,1.921,
2015-01-28,2.576,1.129,1.929,
2015-01-29,2.562,1.115,1.914,
2015-01-30,2.528,1.123,1.908,
2015-02-02,2.578,1.112,1.907,
2015-02-03,2.562,1.124,1.918,
2015-02-04,2.539,1.134,1.923,
2015-02-05,2.551,1.127,1.924,
2015-02-06,2.542,1.136,1.925,
2015-02-09,2.495,1.136,1.916,
2015-02-10,2.493,1.129,1.926,
2015-02-11,2.485,1.143,1.909,
2015-02-12,2.458,1.142,1.915,
2015-02-13,2.475,1.157,1.928,
2015-02-16,2.483,1.16,1.942,
2015-02-17,2.477,1.162,1.941,
2015-02-25,2.454,1.171,1.944,
2015-02-26,2.45,1.17,1.957,
2015-02-27,2.449,1.17,1.962,
2015-03-02,2.469,1.17,1.969,
2015-03-03,2.45,1.177,1.968,
2015-03-04,2.444,1.175,1.955,
2015-03-05,2.433,1.174,1.93,
2015-03-06,2.424,1.177,1.929,
2015-03-09,2.375,1.166,1.924,
2015-03-10,2.35,1.166,1.91,
2015-03-11,2.356,1.145,1.892,
2015-03-12,2.348,1.15,1.899,
2015-03-13,2.345,1.155,1.906,
2015-03-16,2.361,1.151,1.914,
2015-03-17,2.36,1.162,1.912,
2015-03-18,2.347,1.157,1.935,
2015-03-19,2.357,1.172,1.944,
2015-03-20,2.353,1.165,1.941,
2015-03-23,2.364,1.174,1.944,
2015-03-24,2.375,1.167,1.933,
2015-03-25,2.373,1.158,1.944,
2015-03-26,2.399,1.142,1.948,
2015-03-27,2.401,1.144,1.942,
2015-03-30,2.381,1.142,1.982,
2015-03-31,2.363,1.152,1.993,
2015-04-01,2.365,1.145,1.995,
2015-04-02,2.395,1.145,2.016,
2015-04-03,2.389,1.144,2.206,
2015-04-07,2.416,1.148,2.427,
2015-04-08,2.409,1.146,2.67,
2015-04-09,2.383,1.145,2.403,
2015-04-10,2.388,1.15,2.262,
2015-04-13,2.402,1.15,2.194,
2015-04-14,2.38,1.147,2.161,
2015-04-15,2.368,1.147,2.163,
2015-04-16,2.391,1.149,2.162,
2015-04-17,2.391,1.155,2.175,
2015-04-20,2.406,1.147,2.099,
2015-04-21,2.394,1.157,2.162,
2015-04-22,2.403,1.154,2.181,
2015-04-23,2.38,1.158,2.178,
2015-04-24,2.382,1.163,2.156,
2015-04-27,2.369,1.167,2.204,
2015-04-28,2.394,1.163,2.207,
2015-04-29,2.41,1.166,2.216,
2015-04-30,2.403,1.16,2.202,
2015-05-04,2.374,1.16,2.201,
2015-05-05,2.367,1.165,2.161,
2015-05-06,2.373,1.152,2.163,
2015-05-07,2.359,1.15,2.129,
2015-05-08,2.365,1.155,2.169,
2015-05-11,2.369,1.163,2.189,
2015-05-12,2.37,1.162,2.168,
2015-05-13,2.377,1.159,2.149,
2015-05-14,2.41,1.155,2.143,
2015-05-15,2.418,1.164,2.187,
2015-05-18,2.449,1.163,2.164,
2015-05-19,2.424,1.169,2.173,
2015-05-20,2.398,1.168,2.165,
2015-05-21,2.399,1.166,2.164,
2015-05-22,2.41,1.171,2.199,
2015-05-25,2.409,1.17,2.357,
2015-05-26,2.406,1.17,2.25,
2015-05-27,2.389,1.164,2.204,
2015-05-28,2.38,1.168,2.161,
2015-05-29,2.374,1.17,2.171,
2015-06-01,2.373,1.163,2.193,
2015-06-02,2.366,1.164,2.165,
2015-06-03,2.366,1.158,2.18,
2015-06-04,2.355,1.165,2.186,
2015-06-05,2.358,1.162,2.178,
2015-06-08,2.367,1.164,2.174,
2015-06-09,2.354,1.156,2.156,
2015-06-10,2.361,1.16,2.145,
2015-06-11,2.366,1.167,2.137,
2015-06-12,2.362,1.169,2.147,
2015-06-15,2.356,1.157,2.145,
2015-06-16,2.353,1.154,2.112,
2015-06-17,2.345,1.154,2.131,
2015-06-18,2.346,1.155,2.107,
2015-06-19,2.365,1.159,2.11,
2015-06-23,2.356,1.166,2.17,
2015-06-24,2.353,1.17,2.178,
2015-06-25,2.351,1.164,2.165,
2015-06-26,2.336,1.159,2.098,
2015-06-29,2.355,1.159,2.059,
2015-06-30,2.334,1.141,2.106,
2015-07-01,2.337,1.144,2.085,
2015-07-02,2.315,1.15,2.094,
2015-07-03,2.295,1.15,2.081,
2015-07-06,2.324,1.146,2.002,
2015-07-07,2.31,1.143,1.969,
2015-07-08,2.229,1.119,1.772,
2015-07-09,2.275,1.118,1.888,
2015-07-10,2.306,1.123,1.961,
2015-07-13,2.303,1.134,1.97,
2015-07-14,2.299,1.157,1.94,
2015-07-15,2.292,1.165,1.964,
2015-07-16,2.286,1.159,1.976,
2015-07-17,2.283,1.171,2.02,
2015-07-20,2.236,1.174,2.037,
2015-07-21,2.22,1.182,2.041,
2015-07-22,2.198,1.175,2.036,
2015-07-23,2.201,1.18,2.042,
2015-07-24,2.173,1.178,2.028,
2015-07-27,2.193,1.151,1.93,
2015-07-28,2.184,1.152,1.967,
2015-07-29,2.187,1.165,1.985,
2015-07-30,2.171,1.176,1.971,
2015-07-31,2.157,1.177,1.972,
2015-08-03,2.174,1.175,1.979,
2015-08-04,2.171,1.17,1.977,
2015-08-05,2.169,1.171,1.975,
2015-08-06,2.17,1.175,1.966,
2015-08-07,2.176,1.166,1.987,
2015-08-10,2.186,1.168,1.993,
2015-08-11,2.241,1.2,2.018,
2015-08-12,2.328,1.2,1.99,
2015-08-13,2.304,1.211,2.014,
2015-08-14,2.287,1.211,2.007,
2015-08-17,2.295,1.225,2.01,
2015-08-18,2.304,1.231,1.956,
2015-08-19,2.304,1.226,1.949,
2015-08-20,2.346,1.216,1.896,
2015-08-21,2.396,1.191,1.878,
2015-08-24,2.38,1.124,1.745,
2015-08-25,2.364,1.11,1.751,
2015-08-26,2.337,1.113,1.786,
2015-08-27,2.309,1.142,1.816,
2015-08-28,2.321,1.162,1.851,
2015-08-31,2.323,1.157,1.8,
2015-09-01,2.348,1.138,1.777,
2015-09-02,2.34,1.129,1.745,
2015-09-07,2.298,1.13,1.745,
2015-09-08,2.294,1.138,1.753,
2015-09-09,2.3,1.152,1.832,
2015-09-10,2.273,1.137,1.806,
2015-09-11,2.27,1.14,1.806,
2015-09-14,2.27,1.147,1.793,
2015-09-15,2.27,1.14,1.788,
2015-09-16,2.266,1.153,1.839,
2015-09-17,2.296,1.164,1.848,
2015-09-18,2.312,1.159,1.837,
2015-09-21,2.334,1.141,1.82,
2015-09-22,2.324,1.148,1.844,
2015-09-23,2.317,1.134,1.786,
2015-09-24,2.331,1.133,1.778,
2015-09-25,2.35,1.132,1.774,
2015-09-28,2.336,1.128,1.776,
2015-09-29,2.303,1.097,1.725,
2015-09-30,2.299,1.105,1.749,
2015-10-08,2.328,1.15,1.846,
2015-10-09,2.337,1.161,1.875,
2015-10-12,2.365,1.166,1.879,
2015-10-13,2.35,1.163,1.875,
2015-10-14,2.389,1.158,1.86,
2015-10-15,2.405,1.159,1.896,
2015-10-16,2.394,1.168,1.904,
2015-10-19,2.386,1.173,1.906,
2015-10-20,2.386,1.178,1.905,
2015-10-21,2.392,1.174,1.883,
2015-10-22,2.381,1.171,1.894,
2015-10-23,2.392,1.191,1.923,
2015-10-26,2.378,1.199,1.923,
2015-10-27,2.381,1.201,1.915,
2015-10-28,2.395,1.2,1.914,
2015-10-29,2.377,1.211,1.904,
2015-10-30,2.343,1.212,1.89,
2015-11-02,2.33,1.205,1.864,
2015-11-03,2.321,1.219,1.881,
2015-11-04,2.29,1.221,1.921,
2015-11-05,2.27,1.22,1.93,
2015-11-06,2.272,1.218,1.908,
2015-11-09,2.242,1.221,1.904,
2015-11-10,2.242,1.209,1.875,
2015-11-11,2.243,1.209,1.872,
2015-11-12,2.235,1.21,1.917,
2015-11-13,2.221,1.193,1.871,
2015-11-16,2.254,1.179,1.851,
2015-11-17,2.219,1.202,1.87,
2015-11-18,2.201,1.196,1.862,
2015-11-19,2.213,1.219,1.883,
2015-11-20,2.225,1.223,1.885,
2015-11-23,2.206,1.225,1.898,
2015-11-24,2.204,1.223,1.888,
2015-11-25,2.22,1.222,1.895,
2015-11-26,2.213,1.225,1.884,
2015-11-27,2.196,1.224,1.854,
2015-11-30,2.175,1.23,1.861,
2015-12-01,2.21,1.228,1.88,
2015-12-02,2.199,1.237,1.888,
2015-12-03,2.173,1.225,1.883,
2015-12-04,2.188,1.207,1.862,
2015-12-07,2.234,1.227,1.871,
2015-12-08,2.216,1.221,1.84,
2015-12-09,2.225,1.218,1.841,
2015-12-10,2.22,1.212,1.839,
2015-12-11,2.218,1.215,1.824,
2015-12-14,2.235,1.198,1.812,
2015-12-15,2.218,1.203,1.814,
2015-12-16,2.218,1.212,1.846,
2015-12-17,2.218,1.227,1.857,
2015-12-18,2.204,1.211,1.857,
2015-12-21,2.233,1.201,1.854,
2015-12-22,2.241,1.207,1.85,
2015-12-23,2.236,1.211,1.872,
2015-12-24,2.236,1.224,1.877,
2015-12-25,2.242,1.227,1.877,
2015-12-28,2.236,1.223,1.861,
2015-12-29,2.24,1.225,1.875,
2015-12-30,2.237,1.233,1.867,
2015-12-31,2.225,1.234,1.867,
2016-01-04,2.228,1.227,1.825,
2016-01-05,2.265,1.211,1.816,
2016-01-06,2.283,1.214,1.812,
2016-01-07,2.317,1.202,1.794,
2016-01-08,2.331,1.192,1.776,
2016-01-11,2.337,1.173,1.724,
2016-01-12,2.312,1.179,1.709,
2016-01-13,2.293,1.18,1.731,
2016-01-14,2.313,1.164,1.714,
2016-01-15,2.299,1.171,1.686,
2016-01-18,2.303,1.163,1.657,
2016-01-19,2.302,1.179,1.673,
2016-01-20,2.316,1.158,1.631,
2016-01-21,2.339,1.146,1.6,
2016-01-22,2.324,1.169,1.64,
2016-01-25,2.327,1.162,1.664,
2016-01-26,2.367,1.136,1.621,
2016-01-27,2.362,1.15,1.646,
2016-01-28,2.355,1.14,1.638,
2016-01-29,2.352,1.153,1.683,
2016-02-01,2.374,1.166,1.68,
2016-02-02,2.386,1.167,1.676,
2016-02-03,2.39,1.165,1.633,
2016-02-04,2.413,1.198,1.655,
2016-02-05,2.44,1.193,1.654,
2016-02-15,2.54,1.181,1.615,
2016-02-16,2.508,1.187,1.64,
2016-02-17,2.526,1.179,1.625,
2016-02-18,2.524,1.18,1.649,
2016-02-19,2.564,1.177,1.646,
2016-02-22,2.546,1.175,1.663,
2016-02-23,2.547,1.178,1.669,
2016-02-24,2.566,1.17,1.647,
2016-02-25,2.619,1.17,1.622,
2016-02-26,2.6,1.188,1.646,
2016-02-29,2.575,1.187,1.64,
2016-03-01,2.612,1.184,1.655,
2016-03-02,2.582,1.205,1.716,
2016-03-03,2.603,1.204,1.71,
2016-03-04,2.639,1.205,1.721,
2016-03-07,2.64,1.211,1.73,
2016-03-08,2.652,1.203,1.71,
2016-03-09,2.622,1.195,1.704,
2016-03-10,2.605,1.196,1.719,
2016-03-11,2.642,1.196,1.718,
2016-03-14,2.614,1.212,1.742,
2016-03-15,2.563,1.207,1.737,
2016-03-16,2.582,1.207,1.727,
2016-03-17,2.613,1.212,1.743,
2016-03-18,2.614,1.214,1.745,
2016-03-21,2.584,1.223,1.755,
2016-03-22,2.599,1.22,1.762,
2016-03-23,2.577,1.221,1.752,
2016-03-24,2.542,1.212,1.736,
2016-03-25,2.55,1.214,1.746,
2016-03-28,2.536,1.209,1.73,
2016-03-29,2.549,1.207,1.731,
2016-03-30,2.57,1.217,1.764,
2016-03-31,2.547,1.217,1.755,
2016-04-01,2.56,1.215,1.74,
2016-04-05,2.546,1.22,1.717,
2016-04-06,2.55,1.218,1.718,
2016-04-07,2.548,1.224,1.719,
2016-04-08,2.573,1.219,1.713,
2016-04-11,2.592,1.224,1.731,
2016-04-12,2.603,1.221,1.737,
2016-04-13,2.59,1.225,1.777,
2016-04-14,2.567,1.233,1.813,
2016-04-15,2.562,1.233,1.808,
2016-04-18,2.562,1.231,1.785,
2016-04-19,2.58,1.239,1.807,
2016-04-20,2.591,1.241,1.793,
2016-04-21,2.631,1.25,1.83,
2016-04-22,2.59,1.247,1.821,
2016-04-25,2.574,1.241,1.818,
2016-04-26,2.57,1.248,1.805,
2016-04-27,2.599,1.251,1.809,
2016-04-28,2.608,1.255,1.816,
2016-04-29,2.65,1.239,1.787,
2016-05-03,2.693,1.245,1.768,
2016-05-04,2.675,1.232,1.746,
2016-05-05,2.672,1.226,1.752,
