,159934.OF,513500.OF,513600.OF,
,易方达黄金ETF,博时标普500ETF,南方恒生ETF,
,收盘价(元),收盘价(元),收盘价(元),
2013-12-16,2.408,,,
2013-12-17,2.434,,,
2013-12-18,2.42,,,
2013-12-19,2.401,,,
2013-12-20,2.354,,,
2013-12-23,2.38,,,
2013-12-24,2.37,,,
2013-12-25,2.386,,,
2013-12-26,2.386,,,
2013-12-27,2.403,,,
2013-12-30,2.39,,,
2013-12-31,2.373,,,
2014-01-02,2.409,,,
2014-01-03,2.429,,,
2014-01-06,2.44,,,
2014-01-07,2.44,,,
2014-01-08,2.418,,,
2014-01-09,2.418,,,
2014-01-10,2.434,,,
2014-01-13,2.45,,,
2014-01-14,2.455,,,
2014-01-15,2.438,0.986,,
2014-01-16,2.439,0.991,,
2014-01-17,2.438,0.987,,
2014-01-20,2.459,0.982,,
2014-01-21,2.457,0.984,,
2014-01-22,2.432,0.979,,
2014-01-23,2.423,0.988,,
2014-01-24,2.461,0.99,,
2014-01-27,2.48,0.97,,
2014-01-28,2.457,0.964,,
2014-01-29,2.447,0.977,,
2014-01-30,2.457,0.967,,
2014-02-07,2.462,0.973,,
2014-02-10,2.485,0.97,,
2014-02-11,2.507,0.975,,
2014-02-12,2.511,0.987,,
2014-02-13,2.513,0.987,,
2014-02-14,2.553,0.997,,
2014-02-17,2.595,1.001,,
2014-02-18,2.572,1,,
2014-02-19,2.575,1.004,,
2014-02-20,2.568,1,,
2014-02-21,2.58,1.003,,
2014-02-24,2.593,1.005,,
2014-02-25,2.608,1.013,,
2014-02-26,2.644,1.016,,
2014-02-27,2.596,1.015,,
2014-02-28,2.618,1.024,,
2014-03-03,2.644,1.026,,
2014-03-04,2.632,1.022,,
2014-03-05,2.623,1.031,,
2014-03-06,2.616,1.033,,
2014-03-07,2.64,1.034,,
2014-03-10,2.603,1.031,,
2014-03-11,2.63,1.039,,
2014-03-12,2.672,1.029,,
2014-03-13,2.68,1.034,,
2014-03-14,2.685,1.018,,
2014-03-17,2.718,1.022,,
2014-03-18,2.675,1.033,,
2014-03-19,2.679,1.037,,
2014-03-20,2.64,1.03,,
2014-03-21,2.64,1.033,,
2014-03-24,2.629,1.033,,
2014-03-25,2.6,1.031,,
2014-03-26,2.6,1.036,,
2014-03-27,2.582,1.029,,
2014-03-28,2.57,1.028,,
2014-03-31,2.558,1.033,,
2014-04-01,2.538,1.04,,
2014-04-02,2.544,1.048,,
2014-04-03,2.558,1.05,,
