code,establish_date
002227.OF,2016-03-22
002445.OF,2016-02-25
002358.OF,2016-03-02
002447.OF,2016-03-04
002456.OF,2016-03-01
002432.OF,2016-03-09
002446.OF,2016-03-21
002420.OF,2016-03-11
002331.OF,2016-03-23
002442.OF,2016-03-09
002396.OF,2016-03-22
002395.OF,2016-03-22
002397.OF,2016-03-22
002306.OF,2016-03-18
002488.OF,2016-03-16
002487.OF,2016-03-16
002341.OF,2016-03-09
164812.OF,2016-03-07
002486.OF,2016-03-16
002491.OF,2016-03-22
002348.OF,2016-03-22
002349.OF,2016-03-22
002524.OF,2016-03-18
002548.OF,2016-03-18
002549.OF,2016-03-18
002452.OF,2016-03-23
