date,SP500.SPI,SPGSGCTR.SPI
1927/12/30,17.66,
1928/1/6,17.66,
1928/1/13,17.58,
1928/1/20,17.48,
1928/1/27,17.69,
1928/2/3,17.4,
1928/2/10,17.54,
1928/2/17,17.04,
1928/2/24,17.18,
1928/3/2,17.3,
1928/3/9,17.93,
1928/3/16,18.26,
1928/3/23,18.78,
1928/3/30,19.28,
1928/4/5,19.23,
1928/4/13,19.73,
1928/4/20,19.34,
1928/4/27,19.68,
1928/5/4,20.24,
1928/5/11,20.36,
1928/5/18,19.92,
1928/5/25,19.9,
1928/6/1,20.07,
1928/6/8,19.37,
1928/6/15,18.74,
1928/6/22,18.54,
1928/6/29,19.14,
1928/7/6,19.39,
1928/7/13,18.96,
1928/7/20,19.03,
1928/7/27,19.42,
1928/8/3,19.36,
1928/8/10,19.25,
1928/8/17,19.64,
1928/8/24,20.34,
1928/8/31,20.87,
1928/9/7,21.09,
1928/9/14,21.14,
1928/9/21,21.36,
1928/9/28,21.14,
1928/10/5,21.22,
1928/10/11,21.51,
1928/10/19,21.96,
1928/10/26,21.65,
1928/11/2,21.95,
1928/11/9,22.55,
1928/11/16,23.37,
1928/11/23,23.7,
1928/11/30,24.28,
1928/12/7,22.36,
1928/12/14,22.53,
1928/12/21,23.33,
1928/12/28,23.98,
1929/1/4,24.85,
1929/1/11,24.54,
1929/1/18,24.77,
1929/1/25,25.48,
1929/2/1,25.84,
1929/2/8,24.44,
1929/2/15,24.35,
1929/2/21,24.86,
1929/3/1,25.83,
1929/3/8,25.31,
1929/3/15,26.08,
1929/3/22,25.55,
1929/3/28,25.53,
1929/4/5,25.05,
1929/4/12,25.15,
1929/4/19,25.41,
1929/4/26,25.58,
1929/5/3,26.37,
1929/5/10,26.34,
1929/5/17,26.09,
1929/5/24,25.12,
1929/5/31,24.83,
1929/6/7,25.53,
1929/6/14,25.93,
1929/6/21,26.62,
1929/6/28,27.41,
1929/7/5,28.32,
1929/7/12,28.57,
1929/7/19,28.76,
1929/7/26,28.66,
1929/8/2,29.56,
1929/8/9,28.38,
1929/8/16,30.22,
1929/8/23,31.09,
1929/8/30,31.71,
1929/9/6,31.83,
1929/9/13,31.38,
1929/9/20,31.39,
1929/9/27,30.27,
1929/10/4,28.65,
1929/10/11,30.76,
1929/10/18,28.84,
1929/10/25,26.12,
1929/10/31,24.15,
1929/11/8,21.18,
1929/11/15,20.3,
1929/11/22,21.53,
1929/11/27,20.92,
1929/12/6,22.45,
1929/12/13,21.7,
1929/12/20,20.16,
1929/12/27,20.82,
1930/1/3,21.23,
1930/1/10,21.55,
1930/1/17,21.31,
1930/1/24,22.04,
1930/1/31,22.79,
1930/2/7,22.97,
1930/2/14,23.35,
1930/2/21,22.92,
1930/2/28,23.28,
1930/3/7,23.59,
1930/3/14,23.45,
1930/3/21,24.29,
1930/3/28,24.85,
1930/4/4,25.54,
1930/4/11,25.84,
1930/4/17,25.75,
1930/4/25,25.32,
1930/5/2,23.57,
1930/5/9,23.69,
1930/5/16,24.28,
1930/5/23,24.03,
1930/5/29,24.49,
1930/6/6,23.52,
1930/6/13,22.26,
1930/6/20,20.25,
1930/6/27,19.81,
1930/7/3,20.25,
1930/7/11,20.55,
1930/7/18,21.77,
1930/7/25,21.5,
1930/8/1,21.11,
1930/8/8,20.27,
1930/8/15,20.7,
1930/8/22,20.79,
1930/8/29,21.37,
1930/9/5,21.34,
1930/9/12,21.5,
1930/9/19,20.68,
1930/9/26,19.43,
1930/10/3,19.42,
1930/10/10,18.11,
1930/10/17,17.16,
1930/10/24,17.74,
1930/10/31,16.94,
1930/11/7,16.09,
1930/11/14,16.89,
1930/11/21,17.2,
1930/11/28,16.38,
1930/12/5,16.43,
1930/12/12,15.43,
1930/12/19,15.39,
1930/12/26,14.85,
1931/1/2,15.85,
1931/1/9,16.07,
1931/1/16,15.65,
1931/1/23,16.42,
1931/1/30,16.19,
1931/2/6,16.27,
1931/2/13,17.18,
1931/2/20,17.71,
1931/2/27,18.03,
1931/3/6,17.32,
1931/3/13,17.32,
1931/3/20,18.06,
1931/3/27,17.21,
1931/4/2,16.45,
1931/4/10,16.46,
1931/4/17,15.73,
1931/4/24,15.29,
1931/5/1,14.65,
1931/5/8,15.44,
1931/5/15,14.44,
1931/5/22,13.94,
1931/5/29,13.02,
1931/6/5,13.4,
1931/6/12,13.75,
1931/6/19,13.22,
1931/6/26,15.35,
1931/7/3,15.26,
1931/7/10,14.63,
1931/7/17,14.27,
1931/7/24,13.97,
1931/7/31,13.73,
1931/8/7,13.61,
1931/8/14,14.29,
1931/8/21,13.86,
1931/8/28,13.99,
1931/9/4,13.29,
1931/9/11,12.69,
1931/9/18,11.46,
1931/9/25,10.92,
1931/10/2,9.7,
1931/10/9,10.55,
1931/10/16,10.36,
1931/10/23,10.84,
1931/10/30,10.43,
1931/11/6,11.11,
1931/11/13,10.72,
1931/11/20,9.85,
1931/11/27,9.31,
1931/12/4,9.02,
1931/12/11,8.31,
1931/12/18,8.36,
1931/12/24,7.96,
1931/12/31,8.12,
1932/1/8,8.57,
1932/1/15,8.92,
1932/1/22,8.21,
1932/1/29,7.94,
1932/2/5,7.78,
1932/2/11,8.12,
1932/2/19,8.72,
1932/2/26,8.34,
1932/3/4,8.72,
1932/3/11,8.52,
1932/3/18,8.02,
1932/3/24,7.86,
1932/4/1,7.18,
1932/4/8,6.29,
1932/4/15,6.42,
1932/4/22,5.96,
1932/4/29,5.83,
1932/5/6,6.09,
1932/5/13,5.6,
1932/5/20,5.48,
1932/5/27,4.83,
1932/6/3,4.89,
1932/6/10,4.92,
1932/6/17,4.83,
1932/6/24,4.6,
1932/7/1,4.6,
1932/7/8,4.41,
1932/7/15,4.93,
1932/7/22,5.2,
1932/7/29,6.03,
1932/8/5,6.8,
1932/8/12,7,
1932/8/19,7.53,
1932/8/26,8.39,
1932/9/2,8.84,
1932/9/9,8.75,
1932/9/16,7.57,
1932/9/23,8.4,
1932/9/30,8.08,
1932/10/7,7.02,
1932/10/14,7.13,
1932/10/21,6.82,
1932/10/28,7.09,
1932/11/4,6.88,
1932/11/11,7.68,
1932/11/18,7.13,
1932/11/25,6.78,
1932/12/2,6.47,
1932/12/9,7.08,
1932/12/16,7,
1932/12/23,6.57,
1932/12/30,6.92,
1933/1/6,7.23,
1933/1/13,7.25,
1933/1/20,7.06,
1933/1/27,7.04,
1933/2/3,6.53,
1933/2/10,6.66,
1933/2/17,6.23,
1933/2/24,5.9,
1933/3/3,5.84,
1933/3/17,6.63,
1933/3/24,6.25,
1933/3/31,5.85,
1933/4/7,6.12,
1933/4/13,6.67,
1933/4/21,7.44,
1933/4/28,7.83,
1933/5/5,8.74,
1933/5/12,9.03,
1933/5/19,8.82,
1933/5/26,9.34,
1933/6/2,10.13,
