日期,沪深300,中证500
2007-01-31,2385.34,2142.89
2007-02-28,2544.57,2513.53
2007-03-30,2781.78,2926.06
2007-04-30,3558.71,3903.69
2007-05-31,3927.95,4267.78
2007-06-29,3764.08,3585.49
2007-07-31,4460.56,4403.58
2007-08-31,5296.81,4897.64
2007-09-28,5580.81,5083.65
2007-10-31,5688.54,4550.18
2007-11-30,4737.41,4122.93
2007-12-28,5338.28,4947.6
2008-01-31,4620.4,4663.42
2008-02-29,4674.55,5057.62
2008-03-31,3790.53,4044.1
2008-04-30,3959.12,3903.18
2008-05-30,3611.33,3755.63
2008-06-30,2791.82,2813.72
2008-07-31,2805.21,3017.22
2008-08-29,2391.64,2307.16
2008-09-26,2243.66,2136
2008-10-31,1663.66,1562.02
2008-11-28,1829.92,1841.45
2008-12-31,1817.72,1939.43
2009-01-23,2032.68,2238.08
2009-02-27,2140.49,2416.95
2009-03-31,2507.79,2914.13
2009-04-30,2622.93,3086.22
2009-05-27,2759.71,3276.75
2009-06-30,3166.47,3452.26
2009-07-31,3734.62,3928.58
2009-08-31,2830.27,3278
2009-09-30,3004.81,3400.62
2009-10-30,3280.37,3827.68
2009-11-30,3511.67,4405.33
2009-12-31,3575.68,4485.26
2010-01-29,3204.16,4374.65
2010-02-26,3281.67,4634.67
2010-03-31,3345.61,4756.16
2010-04-30,3067.37,4438.68
2010-05-31,2773.26,4104.36
2010-06-30,2563.07,3664.46
2010-07-30,2868.85,4191.13
2010-08-31,2903.19,4589.29
2010-09-30,2935.57,4660.61
2010-10-29,3379.98,5055.49
2010-11-30,3136.99,5110.88
2010-12-31,3128.26,4936.72
2011-01-31,3076.51,4610.86
2011-02-28,3239.56,5095.21
2011-03-31,3223.29,5000.4
2011-04-29,3192.72,4836.87
2011-05-31,3001.56,4444.28
2011-06-30,3044.09,4579.33
2011-07-29,2972.08,4628.32
2011-08-31,2846.78,4430.54
2011-09-30,2581.35,3856.83
2011-10-31,2695.31,3999.36
2011-11-30,2521.52,3819.94
2011-12-30,2345.74,3266.78
2012-01-31,2464.26,3294.49
2012-02-29,2634.14,3696.14
2012-03-30,2454.9,3416.86
2012-04-27,2626.16,3664.64
2012-05-31,2632.04,3753.59
2012-06-29,2461.61,3470.97
2012-07-31,2332.92,3159.19
2012-08-31,2204.87,3139.5
2012-09-28,2293.11,3199.75
2012-10-31,2254.82,3168.1
2012-11-30,2139.66,2816.62
2012-12-31,2522.95,3275.86
2013-01-31,2686.88,3479.64
2013-02-28,2673.33,3608.2
2013-03-29,2495.08,3447.29
2013-04-26,2447.31,3367.77
2013-05-31,2606.43,3841.22
2013-06-28,2200.64,3235.98
2013-07-31,2193.02,3430.74
2013-08-30,2313.91,3664.15
2013-09-30,2409.04,3872.89
2013-10-31,2373.72,3713.83
2013-11-29,2438.94,3946.38
2013-12-31,2330.03,3829.1
2014-01-30,2202.45,3885.42
2014-02-28,2178.97,3975.93
2014-03-31,2146.31,3840.54
2014-04-30,2158.66,3766.17
2014-05-30,2156.46,3829.24
2014-06-30,2165.12,3924.9
2014-07-31,2350.25,4257.05
2014-08-29,2338.29,4427.88
2014-09-30,2450.99,4916.12
2014-10-31,2508.33,4986.42
2014-11-28,2808.82,5245.27
2014-12-31,3533.71,5322.71
2015-01-30,3434.39,5632.73
2015-02-27,3572.84,6018.46
2015-03-31,4051.2,7253.1
2015-04-30,4749.89,8469.67
2015-05-29,4840.83,9966.85
2015-06-30,4473,8906.02
2015-07-31,3816.7,7727.06
2015-08-31,3366.54,6581.31
2015-09-30,3202.95,6123.73
2015-10-30,3534.08,7084.97
2015-11-30,3566.41,7408.4
2015-12-31,3731,7617.69
2016-01-29,2946.09,5469.13
2016-02-05,2963.79,5664.2
