日期,人民币存款基准利率,银行理财产品三个月预期收益率,m2-m1,新开股票账户数量,银证转账资金,大小非减持,银行PB,券商PB,上证50PE,沪深300PE,中证500PE,中小板PE,创业板PE,GDP增速,CPI
2001-05,2.2500 ,,,,,,,,,,,,,9.4000 ,1.7000 
2001-06,2.2500 ,,,95.7100 ,,,,,,,,,,8.5000 ,1.4000 
2001-07,2.2500 ,,,66.0000 ,,,,,,,,,,8.5000 ,1.5000 
2001-08,2.2500 ,,,60.2700 ,,,,,,,,,,8.5000 ,1.0000 
2001-09,2.2500 ,,,23.8300 ,,,,,,,,,,8.5000 ,-0.1000 
2001-10,2.2500 ,,,31.1300 ,,,,,,,,,,8.5000 ,0.2000 
2001-11,2.2500 ,,,33.3000 ,,,,,,,,,,8.5000 ,-0.3000 
2001-12,2.2500 ,,,282.6100 ,,,,,,,,,,7.6000 ,-0.3000 
2002-01,2.2500 ,,,-226.4800 ,,,,,,,,,,7.6000 ,-1.0000 
2002-02,1.9800 ,,,22.0200 ,,,,,,,,,,7.6000 ,0.0000 
2002-03,1.9800 ,,,35.8600 ,,,,,,,,,,8.8000 ,-0.8000 
2002-04,1.9800 ,,,28.9200 ,,,,,,,,,,8.8000 ,-1.3000 
2002-05,1.9800 ,,,25.5400 ,,,,,,,,,,8.8000 ,-1.1000 
2002-06,1.9800 ,,,18.8400 ,,,,,,,,,,8.7000 ,-0.8000 
2002-07,1.9800 ,,,19.8900 ,,,,,,,,,,8.7000 ,-0.9000 
2002-08,1.9800 ,,,17.1400 ,,,,,,,,,,8.7000 ,-0.7000 
2002-09,1.9800 ,,,10.2900 ,,,,,,,,,,9.6000 ,-0.7000 
2002-10,1.9800 ,,,9.5200 ,,,,,,,,,,9.6000 ,-0.8000 
2002-11,1.9800 ,,,10.7200 ,,,,,,,,,,9.6000 ,-0.7000 
2002-12,1.9800 ,,,-29.1000 ,,,,,,,,,,9.1000 ,-0.4000 
2003-01,1.9800 ,,,11.6900 ,,,,,,,,,,9.1000 ,0.4000 
2003-02,1.9800 ,,,8.2600 ,,,,,,,,,,9.1000 ,0.2000 
2003-03,1.9800 ,,,9.5500 ,,,,,,,,,,11.0000 ,0.9000 
2003-04,1.9800 ,,,16.7500 ,,,,,,,,,,11.0000 ,1.0000 
2003-05,1.9800 ,,,12.4000 ,,,,,,,,,,11.0000 ,0.7000 
2003-06,1.9800 ,,,15.8100 ,,,,,,,,,,9.1000 ,0.3000 
2003-07,1.9800 ,,,11.3700 ,,,,,,,,,,9.1000 ,0.5000 
2003-08,1.9800 ,,,8.9700 ,,,,,,,,,,9.1000 ,0.9000 
