2012/1/8,2012/1/15,2012/1/22,2012/2/5,2012/2/12,2012/2/19,2012/2/26,2012/3/4,2012/3/11,2012/3/18,2012/3/25,2012/4/1,2012/4/8,2012/4/15,2012/4/22,2012/4/29,2012/5/6,2012/5/13,2012/5/20,2012/5/27,2012/6/3,2012/6/10,2012/6/17,2012/6/23,2012/7/1,2012/7/8,2012/7/15,2012/7/22,2012/7/29,2012/8/5,2012/8/12,2012/8/19,2012/8/26,2012/9/2,2012/9/9,2012/9/16,2012/9/23,2012/9/30,2012/10/14,2012/10/21,2012/10/28,2012/11/4,2012/11/11,2012/11/18,2012/11/25,2012/12/2,2012/12/9,2012/12/16,2012/12/23,2012/12/30,2013/1/6,2013/1/13,2013/1/20,2013/1/27,2013/2/3,2013/2/10,2013/2/24,2013/3/3,2013/3/10,2013/3/17,2013/3/24,2013/3/31,2013/4/5,2013/4/14,2013/4/21,2013/4/28,2013/5/5,2013/5/12,2013/5/19,2013/5/26,2013/6/2,2013/6/9,2013/6/16,2013/6/23,2013/6/30,2013/7/7,2013/7/14,2013/7/21,2013/7/28,2013/8/4,2013/8/11,2013/8/18,2013/8/25,2013/9/1,2013/9/8,2013/9/15,2013/9/20,2013/9/29,2013/10/2,2013/10/13,2013/10/20,2013/10/27,2013/11/3,2013/11/10,2013/11/17,2013/11/24,2013/12/1,2013/12/8,2013/12/15,2013/12/22,2013/12/29,2014/1/5,2014/1/12,2014/1/19,2014/1/26,2014/2/1,2014/2/9,2014/2/16,2014/2/23,2014/3/2,2014/3/9,2014/3/16,2014/3/23,2014/3/30,2014/4/6,2014/4/13,2014/4/20,2014/4/27,2014/5/2,2014/5/11,2014/5/18,2014/5/25,2014/6/1,2014/6/8,2014/6/15,2014/6/22,2014/6/29,2014/7/6,2014/7/13,2014/7/20,2014/7/27,2014/8/3,2014/8/10,2014/8/17,2014/8/24,2014/8/31,2014/9/7,2014/9/14,2014/9/21,2014/9/28,2014/10/2,2014/10/12,2014/10/19,2014/10/26,2014/11/2,2014/11/9,2014/11/16,2014/11/23,2014/11/30,2014/12/7,2014/12/14,2014/12/21,2014/12/28
-0.031277286,0.037524267,0.033208885,0.004868226,0.009255882,0.002210903,0.034978237,0.008632457,-0.008627661,-0.014232658,-0.022954665,-0.036922121,0.019338958,0.022808957,0.020219061,-0.00437915,0.023239801,-0.02325847,-0.021069069,-0.004678996,0.017094127,-0.03875809,0.011133271,-0.019927607,-0.015679735,-0.0008313,-0.016945646,-0.007896061,-0.018389405,0.001897818,0.016883908,-0.02486156,-0.010775974,-0.021308733,0.039188872,-0.001837613,-0.04574711,0.029348346,0.008992556,0.011102507,-0.029173519,0.024605437,-0.022663612,-0.026263007,0.006278757,-0.023310874,0.041244975,0.043088772,0.001246146,0.037124241,0.019585805,-0.014927602,0.033022737,-0.011121805,0.055741282,0.005531166,-0.048610426,0.019596744,-0.017334108,-0.017342287,0.021892556,-0.039368117,-0.005061208,-0.008322473,0.017156219,-0.029728598,0.012668108,0.018739515,0.016040377,0.002479335,0.005274128,-0.038989829,-0.022099597,-0.041137074,-0.045289663,0.014142006,0.016087086,-0.022966526,0.009133566,0.009234901,0.011244592,0.007898686,-0.005313157,0.019888601,0.019829583,0.0449675,-0.019841518,-0.014517417,0.006777684,0.024592237,-0.015425353,-0.027723837,0.007782612,-0.020204135,0.014101694,0.028349635,0.010981706,0.007480297,-0.018340627,-0.05067666,0.00789528,-0.008618679,-0.033526311,-0.00414742,0.024658969,-0.010372909,0.005617093,0.034898508,-0.001020866,-0.027151569,0.00078296,-0.026031265,0.021593143,-0.002886278,0.008385128,0.034830462,-0.015390464,-0.029188416,-0.004988903,-0.007511005,0.007637459,0.003982235,0.00228058,-0.00453607,0.020079213,-0.021272794,0.004855255,0.011229996,-0.006030941,0.00591609,0.032801216,0.027597914,0.004177916,0.014719084,0.006323173,-0.010536369,0.049264839,0.002372734,-0.001072064,0.007843053,0.006879015,0.004513785,-0.014049037,-0.016615553,0.051210105,-0.000830517,0.02508095,0.00321524,0.078836572,0.09497771,0.000177012,0.058005493,0.015762723
-0.017129747,0.043778359,0.047612666,0.00011593,0.008437958,-0.001430893,0.041579175,0.011581378,-0.008453792,-0.014867078,-0.026198869,-0.033834601,0.024722279,0.023581792,0.016949616,0.000580294,0.032800234,-0.029512391,-0.022397382,-0.000772177,0.023646078,-0.036788093,0.0212887,-0.018873805,-0.013459859,0.006435385,-0.008537644,-0.019993224,-0.020841479,0.004913561,0.017266043,-0.034912216,-0.016828633,-0.029800363,0.04960874,-0.002217031,-0.048089799,0.043834733,0.004287811,0.012210184,-0.034723571,0.025951587,-0.026919519,-0.02637171,0.008163155,-0.020604199,0.05048857,0.049645544,0.005670898,0.04501272,0.021776836,-0.019815395,0.042666405,-0.006037324,0.070940313,0.005208149,-0.067640247,0.028472303,-0.023018673,-0.027735197,0.030833378,-0.049513227,-0.002575439,-0.008620144,0.028645958,-0.03447487,0.018405105,0.016364999,0.016598122,-0.000618278,0.004983655,-0.042232702,-0.027110023,-0.038223756,-0.046412625,0.010213655,0.02801155,-0.039622189,0.016977111,0.010060936,0.015034396,0.012746452,-0.009022588,0.015674462,0.017550925,0.06277208,-0.024510964,-0.01881233,0.003963478,0.022467919,-0.018665835,-0.020702501,0.011970931,-0.032573263,0.016419583,0.019572631,0.013771071,0.008044159,-0.020988026,-0.052597284,0.009953479,-0.006670361,-0.033030719,-0.012400643,0.027997628,-0.019128338,0.002949526,0.035175591,-0.014200347,-0.038846571,-0.004427802,-0.018638841,0.014603511,-0.001587165,0.015174707,0.041640195,-0.022700232,-0.022058436,-0.003635743,-0.010252409,0.004999294,0.000163245,0.002557081,-0.009288738,0.020645992,-0.016565517,0.002905959,0.011068688,-0.016706059,0.005965847,0.044628122,0.032856045,-0.001512802,0.010946555,0.001053245,-0.010538004,0.047257795,-0.007063366,-0.007517794,0.003139852,0.003759276,0.006111223,-0.008735292,-0.019453501,0.046854515,-0.003152655,0.033017335,-0.000422017,0.092149856,0.121650876,0.017113244,0.063524628,0.025170021
-0.059657723,0.051389342,0.023544988,0.021237722,0.034759077,0.025702123,0.047343334,0.007993156,0.018915392,-0.020651444,-0.028374731,-0.072574228,0.041064667,0.038330473,0.023018256,-0.015355553,0.023135586,-0.013507857,-0.014313984,-0.007727539,0.028433502,-0.048036202,0.023980518,-0.017980469,-0.030506742,0.003559728,-0.014822464,-0.015567708,-0.025422526,-0.011185605,0.051098456,-0.031740763,-0.00539752,-0.039619166,0.06174282,0.002133341,-0.06268716,0.015718279,0.015604948,0.012477421,-0.036986275,0.027414687,-0.041835629,-0.036227729,0.000536335,-0.069493477,0.04925492,0.039148991,0.009609431,0.045467926,0.003523509,0.008335542,0.058585281,-0.031451937,0.042560169,0.027210343,-0.016662443,0.029529884,-0.018475253,-0.027756328,0.031565371,-0.032785669,-0.015913298,-0.003313531,0.030829313,-0.037112345,0.025632659,0.043829334,0.028462121,0.024812983,0.012657891,-0.053684908,-0.009049821,-0.033085507,-0.058863564,0.04319696,0.015497673,-0.009498738,0.030873679,0.012712874,0.025008252,-0.017001932,0.024962972,0.005858392,0.039387353,0.009363119,-0.001282373,0.006578183,0.017490216,0.031185031,-0.011217009,-0.041567806,-0.035795676,-0.015662191,0.028066553,0.031059738,0.025404586,-0.026225011,0.010049897,-0.042099645,0.008619517,0.011712328,-0.039621562,0.012277704,0.059510636,0.000886648,0.021932189,0.035926481,0.002278087,-0.037768924,0.013406986,-0.034463427,0.01671863,-0.033796828,0.0190523,0.01718616,0.005116461,-0.061131238,-0.009296964,-0.012854808,-0.000503695,0.022462699,0.013902443,-3.24E-05,0.021769144,-0.027801302,0.032061153,0.030217965,0.00545883,0.001919597,0.012119938,0.025469407,0.025086282,0.028738133,0.023758105,-0.022619588,0.052527354,0.022355403,0.002644149,0.017864738,0.016854715,0.015193026,-0.022897448,-0.020749899,0.052656005,-0.000299606,-0.016220128,0.027830959,0.040448583,0.010586361,0.028371525,-0.001232359,-0.020458298
-0.020214444,0.048899195,0.050496215,0.00204009,0.010969129,-0.005096265,0.050697942,0.01451482,-0.002903003,-0.013832945,-0.029153903,-0.038524844,0.031071397,0.024967985,0.014455328,0.009466151,0.039215478,-0.030312752,-0.022514342,-0.000118819,0.029434642,-0.03736961,0.029248776,-0.020590312,-0.013849637,0.016646806,-0.005655832,-0.035039252,-0.018391873,0.004997156,0.018282445,-0.039109042,-0.020800739,-0.03443696,0.057279413,-0.005242861,-0.048476827,0.048172948,0.000794623,0.022955372,-0.039527566,0.03326818,-0.025061836,-0.02814035,0.002195729,-0.01480087,0.047297631,0.054197846,0.011417722,0.042400416,0.021857421,-0.01766103,0.049198702,-0.01409203,0.072169164,0.011364214,-0.073530706,0.029805289,-0.021035124,-0.035209657,0.036933978,-0.05652478,-0.003004651,0.004736846,0.033923152,-0.041024706,0.01956865,0.020400334,0.008723427,0.004096595,-0.001154491,-0.043880435,-0.024280829,-0.032947394,-0.050139265,0.008279753,0.030937151,-0.053078004,0.015578641,0.009357437,0.015978233,0.021055941,-0.007119724,0.003939525,0.017690712,0.052003432,-0.026041425,-0.02251366,0.002809809,0.02049032,-0.020616333,-0.012061281,0.008626455,-0.03267849,0.014468787,0.00522243,0.01525929,0.004211975,-0.016460614,-0.053590365,0.006266757,-0.002565061,-0.024488559,-0.018404457,0.025986193,-0.020807039,0.00345242,0.042393428,-0.017668013,-0.045103623,-0.001968437,-0.005400601,0.009757696,-0.001563507,0.017153759,0.043078264,-0.024399171,-0.014027762,-0.003838073,-0.019168812,0.004033982,-0.005598745,-0.000237421,-0.008680644,0.020028661,-0.011251976,-0.000818615,0.008112204,-0.02400603,0.010962935,0.047438994,0.033682641,-0.007654559,0.00527083,0.001141886,-0.013580447,0.04423497,-0.015705342,-0.008863543,-0.005125325,0.001958052,0.008597016,-0.013723139,-0.018940264,0.039742265,-0.014646269,0.035311781,-0.010162563,0.085711319,0.096448013,0.009454715,0.044229268,0.031008488
-0.000227535,0.032535868,0.049317299,-0.002929586,-0.000466291,-0.00781823,0.03237191,0.014565877,-0.017431468,-0.020944282,-0.022196298,-0.012462662,0.011685453,0.019869474,0.02046989,0.003110502,0.020509753,-0.030547423,-0.019025782,-0.001306428,0.014645452,-0.036127188,0.020057865,-0.013511857,-0.004730353,0.002520135,-0.014324025,-0.014229553,-0.017749363,0.010839023,0.007456728,-0.024832691,-0.021822826,-0.004007747,0.030111621,-0.01011119,-0.043869011,0.040278064,0.006512361,0.014015749,-0.022999336,0.031814601,-0.019373589,-0.020746303,0.013862025,-9.26E-05,0.060428212,0.058714095,-0.001784708,0.049937189,0.029260895,-0.025446434,0.036312462,0.017883511,0.087177007,-0.016534562,-0.07518218,0.039847022,-0.022171093,-0.029269003,0.037344472,-0.057578556,0.003225312,-0.011706951,0.029720229,-0.031486983,0.020877359,0.011676017,0.018191165,-0.00888309,0.005096688,-0.040574277,-0.028223086,-0.04998789,-0.036324236,-0.001746073,0.033248135,-0.044640898,0.005494817,0.011686104,0.005193457,0.031475274,-0.014316987,0.017606685,0.027393977,0.079257867,-0.028288572,-0.037850456,0.002064486,0.021101777,-0.023863639,-0.006236349,0.033051804,-0.031774159,0.001772627,0.02509285,0.008446789,0.01378898,-0.023632876,-0.053285009,0.007532404,-0.011575611,-0.024664059,-0.014521567,0.015720673,-0.012585155,-0.002861428,0.037169645,-0.015648193,-0.032556541,-0.00502244,-0.015698573,0.029961827,0.012172487,0.009525536,0.047343415,-0.030916514,-0.004584053,-0.003463909,-0.011691043,0.009124576,0.002429299,0.002883918,-0.008302578,0.022144215,-0.012086465,-0.008640553,0.010834844,-0.013055204,0.009939033,0.053243012,0.029880874,-0.012024546,0.00839326,-0.009202202,-0.009416292,0.044147602,-0.013531474,-0.00291255,-0.005652471,0.000492701,0.004344753,-0.007813612,-0.012455696,0.058011332,-0.007542314,0.048452145,-0.01419627,0.110495484,0.131120313,0.001746627,0.10015643,0.03228793
