date,163406.OF,000697.OF,519983.OF,070008.OF,213009.OF
2014/8/31,1.3564,1.001,1.065,13572.5772 ,11782.0074 
2014/9/7,1.4077,1.017,1.127,13581.0849 ,11786.4489 
2014/9/14,1.4077,1.037,1.165,13595.4699 ,11794.8624 
2014/9/21,1.3941,1.037,1.193,13606.9264 ,11813.4211 
2014/9/28,1.4095,1.052,1.227,13618.6984 ,11831.1001 
2014/10/5,1.4235,1.072,1.249,13625.2358 ,11834.8647 
2014/10/12,1.4304,1.072,1.252,13644.9584 ,11846.4421 
2014/10/19,1.4012,1.045,1.232,13656.8634 ,11855.9492 
2014/10/26,1.3761,1.04,1.212,13668.4080 ,11861.8225 
2014/11/2,1.4102,1.087,1.273,13680.1093 ,11883.0083 
2014/11/9,1.4012,1.099,1.281,13691.7774 ,11889.7421 
2014/11/16,1.3898,1.075,1.25,13704.0761 ,11897.5948 
2014/11/23,1.3968,1.135,1.291,13715.8124 ,11909.3169 
2014/11/30,1.4647,1.246,1.352,13727.2885 ,11927.1435 
2014/12/7,1.5595,1.313,1.354,13738.1461 ,11933.0489 
2014/12/14,1.5452,1.258,1.347,13750.8500 ,11937.7290 
2014/12/21,1.5575,1.321,1.366,13762.7827 ,11943.2958 
2014/12/28,1.5759,1.227,1.337,13773.3374 ,11968.8045 
2015/1/4,1.615,1.161,1.34,13785.6575 ,11976.0276 
2015/1/11,1.6434,1.213,1.331,13796.7815 ,11989.3925 
2015/1/18,1.6734,1.349,1.334,13809.0122 ,12000.4325 
2015/1/25,1.6881,1.352,1.331,13820.3400 ,12008.0593 
2015/2/1,1.6441,1.351,1.325,13832.2447 ,12017.2714 
2015/2/8,1.6197,1.454,1.3,13843.7284 ,12028.5971 
2015/2/15,1.6925,1.57,1.359,13855.2194 ,12045.5935 
2015/2/22,1.7586,1.642,1.384,13861.1440 ,12050.8402 
2015/3/1,1.7725,1.642,1.407,13882.2535 ,12065.6698 
2015/3/8,1.7592,1.658,1.412,13897.6594 ,12076.9207 
2015/3/15,1.8248,1.796,1.45,13908.7961 ,12092.1883 
2015/3/22,1.9254,1.985,1.545,13920.5881 ,12100.6286 
2015/3/29,2.0187,2.131,1.602,13932.3380 ,12111.1553 
2015/4/5,2.1555,2.253,1.706,13944.6215 ,12119.1719 
2015/4/12,2.229,2.35,1.797,13959.4788 ,12129.7957 
2015/4/19,2.1896,2.221,1.83,13971.0634 ,12144.8733 
2015/4/26,2.2821,2.475,1.896,13985.9660 ,12151.5098 
2015/5/3,2.2759,2.683,1.887,13997.5296 ,12157.4120 
2015/5/10,2.2674,2.971,1.857,14008.9884 ,12175.5579 
2015/5/17,2.3868,3.242,1.971,14030.2832 ,12180.2269 
2015/5/24,2.5753,3.442,2.257,14044.2992 ,12198.7699 
2015/5/31,2.6045,3.405,2.336,14053.1886 ,12200.3790 
2015/6/7,2.8055,3.696,2.658,14063.9731 ,12209.6431 
2015/6/14,2.9373,3.551,2.801,14072.8894 ,12212.5090 
2015/6/21,2.7175,3.066,2.483,14078.8365 ,12221.8840 
2015/6/28,2.5419,2.593,2.289,14091.3847 ,12231.8787 
2015/7/5,2.2763,2.002,1.807,14104.6782 ,12243.9223 
2015/7/12,2.3201,1.815,1.675,14114.6847 ,12248.0940 
2015/7/19,2.5211,1.951,1.807,14123.9415 ,12252.3239 
2015/7/26,2.6072,2.16,1.939,14132.7992 ,12256.3239 
2015/8/2,2.4017,1.735,1.761,14141.8758 ,12264.2646 
2015/8/9,2.4683,1.78,1.854,14151.0398 ,12271.8888 
2015/8/16,2.5801,1.945,2,14160.6329 ,12276.5867 
2015/8/23,2.3385,1.682,1.809,14170.1580 ,12281.7997 
2015/8/30,2.2564,1.459,1.665,14179.1398 ,12287.7085 
2015/9/6,2.0705,1.235,1.475,14186.9082 ,12295.0243 
2015/9/13,2.2429,1.405,1.625,14198.1687 ,12299.5923 
2015/9/20,2.1944,1.331,1.562,14207.2368 ,12304.2347 
2015/9/27,2.2065,1.383,1.58,14216.0209 ,12316.7453 
2015/10/4,2.2376,1.426,1.599,14220.8095 ,12323.2061 
2015/10/11,2.3722,1.531,1.684,14234.1266 ,12330.4321 
2015/10/18,2.543,1.771,1.847,14243.9097 ,12335.2396 
2015/10/25,2.5671,1.857,1.891,14252.2993 ,12340.6199 
2015/11/1,2.5951,1.844,1.934,14261.5215 ,12349.1148 
2015/11/8,2.8105,2.008,2.052,14271.0844 ,12357.5512 
